,Genome,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,Subpathway7,Subpathway8,MaxCompletion,Mean.Completeness,Lifestyle,taxa_elm
3876,MARD_SAMEA3495629_REFG_MMP3495629,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,98.76,assimilator,Alpha-Other
3877,MARD_SAMEA3495742_REFG_MMP3495742,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,99.84,incomplete,Alpha-Other
3878,MARD_SAMEA3495743_REFG_MMP3495743,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,98.76,assimilator,Alpha-Other
3879,MARD_SAMEA3500511_REFG_MMP3500511,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.63,assimilator,Gamma-Other
3880,MARD_SAMEA3522225_REFG_MMP3522225,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.26,assimilator,Alpha-Rhodobacter
3881,MARD_SAMEA3528420_REFG_MMP3528420,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.78,assimilator,Alpha-Rhodobacter
3882,MARD_SAMEA3528422_REFG_MMP3528422,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,98.14,assimilator,Alpha-Rhodobacter
3883,MARD_SAMEA3529277_REFG_MMP3529277,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,98.94,assimilator,Alpha-Rhodobacter
3884,MARD_SAMEA3530152_REFG_MMP3530152,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.26,assimilator,Alpha-Rhodobacter
3885,MARD_SAMEA3531082_REFG_MMP3531082,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.11,assimilator,Alpha-Rhodobacter
3886,MARD_SAMEA3531501_REFG_MMP3531501,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.11,assimilator,Alpha-Rhodobacter
3887,MARD_SAMEA3532031_REFG_MMP3532031,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.16,assimilator,Alpha-Rhodobacter
3888,MARD_SAMEA3532111_REFG_MMP3532111,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.47,assimilator,Alpha-Rhodobacter
3889,MARD_SAMEA3532112_REFG_MMP3532112,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.64,assimilator,Alpha-Rhodobacter
3890,MARD_SAMEA3532819_REFG_MMP3532819,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,100,assimilator,Gamma-Other
3891,MARD_SAMEA3535146_REFG_MMP3535146,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,98.83,assimilator,Alpha-Rhodobacter
3892,MARD_SAMEA3539551_REFG_MMP3539551,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.54,assimilator,Alpha-Rhodobacter
3893,MARD_SAMEA3542132_REFG_MMP3542132,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.54,assimilator,Alpha-Rhodobacter
3894,MARD_SAMEA3542137_REFG_MMP3542137,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.48,assimilator,Alpha-Rhodobacter
3895,MARD_SAMEA3542138_REFG_MMP3542138,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,98.5,assimilator,Alpha-Rhodobacter
3896,MARD_SAMEA3542246_REFG_MMP3542246,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,98.74,assimilator,Alpha-Rhodobacter
3897,MARD_SAMEA3861759_REFG_MMP3861759,0,0,1,0,1,1,0,0,0,0.25,0.25,0.5,0.75,0.5,0.75,0,0.333333333333333,0.75,77.7,incomplete,Cyano-Syn
3898,MARD_SAMEA3872802_REFG_MMP3872802,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,100,assimilator,Gamma-Other
3899,MARD_SAMEA3872803_REFG_MMP3872803,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,99.64,assimilator,Gamma-Other
3900,MARD_SAMEA3925393_REFG_MMP3925393,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.56,assimilator,Gamma-Other
3901,MARD_SAMEA4019367_REFG_MMP4019367,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,100,assimilator,Gamma-Other
3902,MARD_SAMEA4029000_REFG_MMP4029000,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,100,assimilator,Gamma-Other
3903,MARD_SAMEA4029001_REFG_MMP4029001,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,100,assimilator,Gamma-Other
3904,MARD_SAMEA4034450_REFG_MMP4034450,0,1,0,0,0,0,0,1,1,0.25,0.25,0.5,0.25,0.5,0.25,0.333333333333333,0.333333333333333,0.5,99.45,incomplete,Bacteroidota
3905,MARD_SAMEA4076716_REFG_MMP4076716,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,96.62,incomplete,Actinobacteriota
3906,MARD_SAMEA44539918_REFG_MMP44539918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.38,auxotroph,Gamma-Other
3907,MARD_SAMEA4520406_REFG_MMP4520406,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3908,MARD_SAMEA4520407_REFG_MMP4520407,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3909,MARD_SAMEA4520408_REFG_MMP4520408,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3910,MARD_SAMEA4520409_REFG_MMP4520409,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3911,MARD_SAMEA4520410_REFG_MMP4520410,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3912,MARD_SAMEA4520411_REFG_MMP4520411,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3913,MARD_SAMEA4520412_REFG_MMP4520412,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3914,MARD_SAMEA4520413_REFG_MMP4520413,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3915,MARD_SAMEA4520414_REFG_MMP4520414,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3916,MARD_SAMEA4520415_REFG_MMP4520415,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3917,MARD_SAMEA4520416_REFG_MMP4520416,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3918,MARD_SAMEA4520417_REFG_MMP4520417,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3919,MARD_SAMEA4644770_REFG_MMP4644770,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,99.81,incomplete,Bacteroidota
3920,MARD_SAMEA4644771_REFG_MMP4644771,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,99.81,incomplete,Bacteroidota
3921,MARD_SAMEA4704834_REFG_MMP4704834,0,1,0,0,1,0,0,0,0,0,0,0.5,0.25,0.5,0.25,0,0,0.5,99.26,incomplete,Bacteroidota
3922,MARD_SAMEA4707912_REFG_MMP4707912,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.64,assimilator,Cyano-Syn
3923,MARD_SAMEA4707913_REFG_MMP4707913,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,100,assimilator,Cyano-Syn
3924,MARD_SAMEA4707914_REFG_MMP4707914,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.5,assimilator,Cyano-Syn
3925,MARD_SAMEA4707915_REFG_MMP4707915,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.64,assimilator,Cyano-Syn
3926,MARD_SAMEA4707916_REFG_MMP4707916,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.5,assimilator,Cyano-Syn
3927,MARD_SAMEA4707917_REFG_MMP4707917,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.86,assimilator,Cyano-Syn
3928,MARD_SAMEA4707918_REFG_MMP4707918,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,100,assimilator,Cyano-Syn
3929,MARD_SAMEA4707919_REFG_MMP4707919,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,98.51,assimilator,Cyano-Syn
3930,MARD_SAMEA4707920_REFG_MMP4707920,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,98.29,assimilator,Cyano-Syn
3931,MARD_SAMEA4707921_REFG_MMP4707921,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.28,assimilator,Cyano-Syn
3932,MARD_SAMEA4707922_REFG_MMP4707922,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.73,assimilator,Cyano-Syn
3933,MARD_SAMEA4707923_REFG_MMP4707923,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.5,assimilator,Cyano-Syn
3934,MARD_SAMEA859855_REFG_MMP859855,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3935,MARD_SAMEA859881_REFG_MMP859881,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,99.62,assimilator,Gamma-Other
3936,MARD_SAMEA859932_REFG_MMP859932,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,99.64,assimilator,Gamma-Other
3937,MARD_SAMEA859946_REFG_MMP859946,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.62,assimilator,Gamma-Other
3938,MARD_SAMN00016663_REFG_MMP00016663,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,97.04,incomplete,Archaea-Nitrosopumilaceae
3939,MARD_SAMN00016669_REFG_MMP00016669,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,89.4,incomplete,Archaea-Nitrosopumilaceae
3940,MARD_SAMN00622969_REFG_MMP00622969,1,0,1,1,1,1,0,0,1,0.75,1,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,98.3,assimilator,Firmicutes
3941,MARD_SAMN00622971_REFG_MMP00622971,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.25,0.75,0.5,0.333333333333333,0.333333333333333,0.75,98.78,incomplete,Actinobacteriota
3942,MARD_SAMN00622973_REFG_MMP00622973,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,100,assimilator,Gamma-Alteromonadaceae
3943,MARD_SAMN00622974_REFG_MMP00622974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,auxotroph,Gamma-Other
3944,MARD_SAMN01942250_REFG_MMP01942250,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,98.6,assimilator,Gamma-Other
3945,MARD_SAMN01942309_REFG_MMP01942309,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Gamma-Other
3946,MARD_SAMN02212510_REFG_MMP02212510,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,100,assimilator,Gamma-Other
3947,MARD_SAMN02256432_SAGS_MMP02256432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.51,auxotroph,Gamma-Other
3948,MARD_SAMN02261244_REFG_MMP02261244,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,98.3,assimilator,Gamma-Other
3949,MARD_SAMN02261245_REFG_MMP02261245,0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.25,0,0,0.75,99.78,incomplete,Gamma-Other
3950,MARD_SAMN02261247_REFG_MMP02261247,0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.25,0,0,0.75,99.64,incomplete,Gamma-Other
3951,MARD_SAMN02261258_REFG_MMP02261258,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,99.34,assimilator,Alpha-Rhodobacter
3952,MARD_SAMN02261272_SAGS_MMP02261272,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.25,0.75,0.5,0.333333333333333,0.333333333333333,0.75,77.02,incomplete,Bacteria-Other
3953,MARD_SAMN02261307_REFG_MMP02261307,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,99.1,incomplete,Archaea-Other
3954,MARD_SAMN02261338_REFG_MMP02261338,0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.5,0.75,0.333333333333333,0.666666666666667,0.75,99.28,incomplete,Cyano-Other
3955,MARD_SAMN02261341_REFG_MMP02261341,0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.5,0.75,0.333333333333333,0.666666666666667,0.75,99.82,incomplete,Cyano-Other
3956,MARD_SAMN02261354_REFG_MMP02261354,0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.5,0.75,0.333333333333333,0.666666666666667,0.75,99.89,incomplete,Cyano-Other
3957,MARD_SAMN02261372_REFG_MMP02261372,0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.25,0.5,0,0.333333333333333,0.5,99.45,incomplete,Archaea-Other
3958,MARD_SAMN02435834_REFG_MMP02435834,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,95.75,assimilator,Gamma-Other
3959,MARD_SAMN02435854_REFG_MMP02435854,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,78.26,assimilator,Gamma-Other
3960,MARD_SAMN02436080_REFG_MMP02436080,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.52,assimilator,Alpha-Rhodobacter
3961,MARD_SAMN02436081_REFG_MMP02436081,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.08,assimilator,Alpha-Rhodobacter
3962,MARD_SAMN02436083_REFG_MMP02436083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.02,auxotroph,Gamma-Alteromonadaceae
3963,MARD_SAMN02436084_REFG_MMP02436084,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.08,assimilator,Alpha-Other
3964,MARD_SAMN02436085_REFG_MMP02436085,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.5,assimilator,Cyano-Syn
3965,MARD_SAMN02436086_REFG_MMP02436086,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.86,assimilator,Gamma-Other
3966,MARD_SAMN02436087_REFG_MMP02436087,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,97.97,assimilator,Gamma-Other
3967,MARD_SAMN02436088_REFG_MMP02436088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.76,auxotroph,Alpha-Pelagibacter
3968,MARD_SAMN02436090_REFG_MMP02436090,0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.5,0.75,0.333333333333333,0.666666666666667,0.75,99.29,incomplete,Cyano-Other
3969,MARD_SAMN02436091_REFG_MMP02436091,0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.5,0.75,0.333333333333333,0.666666666666667,0.75,98.93,incomplete,Cyano-Other
3970,MARD_SAMN02436096_REFG_MMP02436096,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,96.35,assimilator,Gamma-Other
3971,MARD_SAMN02436105_REFG_MMP02436105,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.02,assimilator,Alpha-Rhodobacter
3972,MARD_SAMN02436107_REFG_MMP02436107,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.86,assimilator,Cyano-Syn
3973,MARD_SAMN02436108_REFG_MMP02436108,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.16,assimilator,Alpha-Rhodobacter
3974,MARD_SAMN02436109_REFG_MMP02436109,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,98.86,assimilator,Alpha-Rhodobacter
3975,MARD_SAMN02436110_REFG_MMP02436110,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.18,assimilator,Alpha-Rhodobacter
3976,MARD_SAMN02436111_REFG_MMP02436111,0,1,0,0,0,0,0,1,1,0.25,0.25,0.5,0.25,0.5,0.25,0.333333333333333,0.333333333333333,0.5,99.16,incomplete,Bacteroidota
3977,MARD_SAMN02436112_REFG_MMP02436112,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,97.59,assimilator,Planctomycetota
3978,MARD_SAMN02436113_REFG_MMP02436113,1,0,1,1,1,1,0,1,0,1,0.75,0.75,1,0.5,0.75,0.333333333333333,0.333333333333333,1,99.78,assimilator,Gamma-Other
3979,MARD_SAMN02436114_REFG_MMP02436114,0,1,0,0,0,0,0,1,1,0.25,0.25,0.5,0.25,0.5,0.25,0.333333333333333,0.333333333333333,0.5,98.94,incomplete,Bacteroidota
3980,MARD_SAMN02436115_REFG_MMP02436115,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,97.54,assimilator,Gamma-Other
3981,MARD_SAMN02436116_REFG_MMP02436116,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,98.72,incomplete,Bacteroidota
3982,MARD_SAMN02436117_REFG_MMP02436117,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,83.92,assimilator,Gamma-Other
3983,MARD_SAMN02436120_REFG_MMP02436120,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,97.84,assimilator,Planctomycetota
3984,MARD_SAMN02436126_REFG_MMP02436126,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,99.44,incomplete,Alpha-Other
3985,MARD_SAMN02436127_REFG_MMP02436127,0,1,0,0,1,1,0,0,1,0.25,0.5,0.75,0.5,1,0.75,0.333333333333333,0.333333333333333,1,99.22,assimilator,Bacteria-Other
3986,MARD_SAMN02436130_REFG_MMP02436130,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.25,0.75,0.5,0.333333333333333,0.333333333333333,0.75,98.32,incomplete,Bacteroidota
3987,MARD_SAMN02436131_REFG_MMP02436131,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.44,assimilator,Alpha-Other
3988,MARD_SAMN02436132_REFG_MMP02436132,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,98.74,assimilator,Gamma-Other
3989,MARD_SAMN02436134_REFG_MMP02436134,1,1,0,1,1,1,0,0,0,0.75,0.75,0.75,0.5,0.75,0.5,0.333333333333333,0,0.75,99.2,incomplete,Alpha-Other
3990,MARD_SAMN02436135_REFG_MMP02436135,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,99.12,assimilator,Alpha-Other
3991,MARD_SAMN02436136_REFG_MMP02436136,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,99.81,incomplete,Bacteroidota
3992,MARD_SAMN02436137_REFG_MMP02436137,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.64,assimilator,Alpha-Rhodobacter
3993,MARD_SAMN02436138_REFG_MMP02436138,1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,92.38,assimilator,Gamma-Other
3994,MARD_SAMN02436139_REFG_MMP02436139,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.73,assimilator,Cyano-Syn
3995,MARD_SAMN02436140_REFG_MMP02436140,1,1,0,1,1,1,0,1,0,1,0.75,1,0.75,0.75,0.5,0.333333333333333,0,1,97.04,assimilator,Gamma-Other
3996,MARD_SAMN02436141_REFG_MMP02436141,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,97.18,assimilator,Gamma-Other
3997,MARD_SAMN02436142_REFG_MMP02436142,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,98.72,assimilator,Alpha-Rhodobacter
3998,MARD_SAMN02436143_REFG_MMP02436143,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,97.78,assimilator,Gamma-Other
3999,MARD_SAMN02436148_REFG_MMP02436148,0,1,0,0,1,0,0,1,1,0.25,0.25,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,96.76,incomplete,Verrucomicrobiota
4000,MARD_SAMN02436150_REFG_MMP02436150,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,92.08,assimilator,Gamma-Other
4001,MARD_SAMN02436154_REFG_MMP02436154,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,99.37,assimilator,Cyano-Syn
4002,MARD_SAMN02436155_REFG_MMP02436155,1,0,1,1,1,0,0,1,0,0.75,0.5,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,0.75,99.19,incomplete,Gamma-Other
4003,MARD_SAMN02436159_REFG_MMP02436159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.18,auxotroph,Actinobacteriota
4004,MARD_SAMN02436160_REFG_MMP02436160,1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,98.51,assimilator,Cyano-Syn
4005,MARD_SAMN02436161_REFG_MMP02436161,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,99.64,assimilator,Alpha-Other
4006,MARD_SAMN02436163_REFG_MMP02436163,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.16,assimilator,Alpha-Rhodobacter
4007,MARD_SAMN02436164_REFG_MMP02436164,1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,99.44,assimilator,Alpha-Rhodobacter
4008,MARD_SAMN02436165_REFG_MMP02436165,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,95.96,assimilator,Gamma-Other
4009,MARD_SAMN02436179_REFG_MMP02436179,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,98.64,assimilator,Gamma-Other
4010,MARD_SAMN02436225_REFG_MMP02436225,1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,99.32,assimilator,Alpha-Rhodobacter
4011,MARD_SAMN02436273_REFG_MMP02436273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.53,auxotroph,Gamma-Other
4012,MARD_SAMN02440392_SAGS_MMP02440392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.93,auxotroph,Marinisomatota
4013,MARD_SAMN02440415_REFG_MMP02440415,0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.25,0.5,0,0.333333333333333,0.5,98.76,incomplete,Archaea-Other
4014,MARD_SAMN02440508_SAGS_MMP02440508,0,1,0,0,1,0,0,1,0,0.25,0,0.75,0.5,0.5,0.25,0,0,0.75,87.2,incomplete,Alpha-Other
4015,MARD_SAMN02440509_SAGS_MMP02440509,0,0,1,0,1,0,0,0,0,0,0,0.25,0.5,0.25,0.5,0,0.333333333333333,0.5,90.54,incomplete,Gamma-Other
