"","Genome","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","taxa_elm","Mean Completeness","Lifestyle"
"3062","MALA_SAMN05421563_METAG_CFEKGAML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",90.55,"auxotroph"
"3063","MALA_SAMN05421563_METAG_DJIMIDHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",86.05,"auxotroph"
"3064","MALA_SAMN05421563_METAG_DKEOMCCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patescibacteria",77.72,"auxotroph"
"3065","MALA_SAMN05421563_METAG_DNBDCBHP",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",91.46,"incomplete"
"3066","MALA_SAMN05421563_METAG_EEGCJIIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",85.44,"auxotroph"
"3067","MALA_SAMN05421563_METAG_GDOADBFK",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Gamma-Other",75.6,"assimilator"
"3068","MALA_SAMN05421563_METAG_HAEGDPLG",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Gemmatimonadota",91.8,"incomplete"
"3069","MALA_SAMN05421563_METAG_HGIANKEH",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Other",75.07,"assimilator"
"3070","MALA_SAMN05421563_METAG_IOEEOBGH",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Bacteroidota",80.91,"incomplete"
"3071","MALA_SAMN05421563_METAG_OGDDIGDA",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Alteromonas",91.5,"assimilator"
"3072","MALA_SAMN05421563_METAG_PAKDOBCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",97.1,"auxotroph"
"3073","MALA_SAMN05421563_METAG_PKJCOBAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",76.36,"auxotroph"
"3074","MALA_SAMN05421660_METAG_AKFNKDEK",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",91.24,"incomplete"
"3075","MALA_SAMN05421660_METAG_BCLNBHCC",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Alteromonas",84.3,"assimilator"
"3076","MALA_SAMN05421660_METAG_BDGLBHNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",88.7,"auxotroph"
"3077","MALA_SAMN05421660_METAG_BOEAJOMI",0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.25,0,0,0.75,"Gamma-Other",83.39,"incomplete"
"3078","MALA_SAMN05421660_METAG_CBMKKPMN",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",81.1,"incomplete"
"3079","MALA_SAMN05421660_METAG_DADJBPJA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",79.39,"auxotroph"
"3080","MALA_SAMN05421660_METAG_DGFHAHIK",0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,"Marinisomatota",75.85,"incomplete"
"3081","MALA_SAMN05421660_METAG_DHHMFGHB",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",82.62,"incomplete"
"3082","MALA_SAMN05421660_METAG_DIIGKDEL",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Gamma-Other",75.66,"incomplete"
"3083","MALA_SAMN05421660_METAG_EGMGPDBA",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Gamma-Other",85.26,"assimilator"
"3084","MALA_SAMN05421660_METAG_EIGDKAGI",0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,"Marinisomatota",88.41,"incomplete"
"3085","MALA_SAMN05421660_METAG_FAGOIIOI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",76.06,"auxotroph"
"3086","MALA_SAMN05421660_METAG_GFGLPLJO",0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.25,0.25,0,0,0,0.5,"Gamma-Other",94.02,"incomplete"
"3087","MALA_SAMN05421660_METAG_HCGODADP",0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0.5,0.25,0,0,0.75,"Bacteroidota",88.66,"incomplete"
"3088","MALA_SAMN05421660_METAG_KCFPKICE",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Gamma-Other",90.99,"assimilator"
"3089","MALA_SAMN05421660_METAG_NBCIACAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",96.55,"auxotroph"
"3090","MALA_SAMN05421660_METAG_NBPLHFIP",0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,"Chloroflexota",96.01,"incomplete"
"3091","MALA_SAMN05421660_METAG_NNGLCIHM",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",87.24,"incomplete"
"3092","MALA_SAMN05421697_METAG_CBKFLGDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",80.09,"auxotroph"
"3093","MALA_SAMN05421697_METAG_DAPJGNBH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",87.78,"auxotroph"
"3094","MALA_SAMN05421697_METAG_FKHHNDDA",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Bacteria-Other",93.32,"assimilator"
"3095","MALA_SAMN05421697_METAG_GIJBDGAK",0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,"Gamma-Other",89.89,"incomplete"
"3096","MALA_SAMN05421697_METAG_LIEFMPLO",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Actinobacteriota",99.18,"assimilator"
"3097","MALA_SAMN05421697_METAG_MJGJEFPK",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Actinobacteriota",96.72,"incomplete"
"3098","MALA_SAMN05421697_METAG_OILIAGNK",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Bacteria-Other",89.71,"incomplete"
"3099","MALA_SAMN05421699_METAG_ABPHNPKL",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Alpha-Other",94.6,"assimilator"
"3100","MALA_SAMN05421699_METAG_ACDJADOH",1,1,0,1,1,1,0,0,0,0.75,0.75,0.75,0.5,0.75,0.5,0.333333333333333,0,0.75,"Alpha-Other",93.02,"incomplete"
"3101","MALA_SAMN05421699_METAG_AGINOFJO",1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,"Gamma-Other",94.18,"assimilator"
"3102","MALA_SAMN05421699_METAG_ANBCCJOD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",83.38,"auxotroph"
"3103","MALA_SAMN05421699_METAG_BELIHAJM",1,1,0,1,1,0,0,0,0,0.5,0.5,0.5,0.25,0.5,0.25,0.333333333333333,0,0.5,"Alpha-Other",98.18,"incomplete"
"3104","MALA_SAMN05421699_METAG_BEPLOJJM",1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,"Alpha-Rhodobacter",91.04,"assimilator"
"3105","MALA_SAMN05421699_METAG_BNHCAENF",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",88.16,"incomplete"
"3106","MALA_SAMN05421699_METAG_CKLFHOPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",93.64,"auxotroph"
"3107","MALA_SAMN05421699_METAG_CLHBCOKF",0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,"Chloroflexota",95.24,"incomplete"
"3108","MALA_SAMN05421699_METAG_EKHFFGJM",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",85.18,"incomplete"
"3109","MALA_SAMN05421699_METAG_EOIJHFLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",88.99,"auxotroph"
"3110","MALA_SAMN05421699_METAG_FMHAGMGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",83.3,"auxotroph"
"3111","MALA_SAMN05421699_METAG_FNGIEPGD",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Actinobacteriota",92.58,"incomplete"
"3112","MALA_SAMN05421699_METAG_JAPJIIFP",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",78.04,"incomplete"
"3113","MALA_SAMN05421699_METAG_JGAIJIKK",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Alpha-Other",82.68,"assimilator"
"3114","MALA_SAMN05421699_METAG_JIJFALML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SAR324",93.41,"auxotroph"
"3115","MALA_SAMN05421699_METAG_KJBLLHLE",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Gamma-Other",92.54,"assimilator"
"3116","MALA_SAMN05421699_METAG_KNDHKFMG",0,1,0,0,1,0,0,0,0,0,0,0.5,0.25,0.5,0.25,0,0,0.5,"Alpha-Other",82.9,"incomplete"
"3117","MALA_SAMN05421699_METAG_LMCJJMIA",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Alpha-Other",82.62,"assimilator"
"3118","MALA_SAMN05421699_METAG_MCLGIJCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",90.91,"auxotroph"
"3119","MALA_SAMN05421699_METAG_PGEEHGOF",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",85.27,"incomplete"
"3120","MALA_SAMN05421699_METAG_PHCLAHMJ",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Gamma-Other",77.04,"incomplete"
"3121","MALA_SAMN05421703_METAG_DBMILFJN",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",83.65,"incomplete"
"3122","MALA_SAMN05421703_METAG_ENIMIFFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",90.96,"auxotroph"
"3123","MALA_SAMN05421703_METAG_JAMALGJE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",88.25,"auxotroph"
"3124","MALA_SAMN05421703_METAG_JBADHKBO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SAR324",91.62,"auxotroph"
"3125","MALA_SAMN05421703_METAG_JBDFNILJ",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",83.76,"incomplete"
"3126","MALA_SAMN05421703_METAG_LGEINDCH",1,0,1,1,1,0,0,0,0,0.5,0.5,0.25,0.5,0.25,0.5,0.333333333333333,0.333333333333333,0.5,"Gamma-Other",79.47,"incomplete"
"3127","MALA_SAMN05421703_METAG_LNHMHMHJ",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",76.08,"incomplete"
"3128","MALA_SAMN05421706_METAG_AONDLMJM",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Alpha-Other",83.26,"assimilator"
"3129","MALA_SAMN05421706_METAG_BMNAHIMK",0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,"Alpha-Other",87.09,"incomplete"
"3130","MALA_SAMN05421706_METAG_CCBNPPJM",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Actinobacteriota",94.8,"incomplete"
"3131","MALA_SAMN05421706_METAG_CKJAFDPA",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Alteromonas",95.72,"assimilator"
"3132","MALA_SAMN05421706_METAG_CPBAILGB",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Alpha-Other",96.28,"assimilator"
"3133","MALA_SAMN05421706_METAG_DBABOAMP",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",91,"incomplete"
"3134","MALA_SAMN05421706_METAG_DCDGKLMK",1,0,1,1,1,1,0,1,1,1,1,0.75,1,0.75,1,0.666666666666667,0.666666666666667,1,"Gamma-Other",81.88,"assimilator"
"3135","MALA_SAMN05421706_METAG_DECGBFOP",1,0,1,1,0,1,0,0,1,0.75,1,0.25,0.5,0.5,0.75,0.666666666666667,0.666666666666667,1,"Alpha-Rhodobacter",89.06,"assimilator"
"3136","MALA_SAMN05421706_METAG_DLOFOAMM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",82.12,"auxotroph"
"3137","MALA_SAMN05421706_METAG_IGDJKFJO",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Gamma-Other",78.61,"assimilator"
"3138","MALA_SAMN05421706_METAG_IIJFLAKM",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",85.89,"incomplete"
"3139","MALA_SAMN05421706_METAG_JGEHDGPM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",83,"auxotroph"
"3140","MALA_SAMN05421706_METAG_JJDGLEBG",0,0,0,0,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Alpha-Rhodobacter",96.68,"incomplete"
"3141","MALA_SAMN05421706_METAG_NAFAAHFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",96.55,"auxotroph"
"3142","MALA_SAMN05421706_METAG_NIIDGNNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",80.98,"auxotroph"
"3143","MALA_SAMN05421706_METAG_OGGLFJDF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SAR324",91.57,"auxotroph"
"3144","MALA_SAMN05421706_METAG_PDNDAHEE",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",93.02,"incomplete"
"3145","MALA_SAMN05421706_METAG_PGDLPGBM",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Gamma-Other",76.14,"incomplete"
"3146","MALA_SAMN05421706_METAG_PHFBJKBA",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Alpha-Other",82.38,"assimilator"
"3147","MALA_SAMN05421706_METAG_PHFPPBLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",95.58,"auxotroph"
"3148","MALA_SAMN05421706_METAG_PHJHNDCF",0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,"Chloroflexota",95.2,"incomplete"
"3149","MALA_SAMN05421707_METAG_AHKPFDAN",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",89.54,"incomplete"
"3150","MALA_SAMN05421707_METAG_CCNJNPBC",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",82.3,"incomplete"
"3151","MALA_SAMN05421707_METAG_DLPHLOCC",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",85.88,"incomplete"
"3152","MALA_SAMN05421707_METAG_EKALKGMB",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",84.5,"incomplete"
"3153","MALA_SAMN05421707_METAG_FLCBHHCF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Archaea-Poseidoniia MGIIb",80.08,"auxotroph"
"3154","MALA_SAMN05421707_METAG_HMPFHJGE",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",80.76,"incomplete"
"3155","MALA_SAMN05421707_METAG_INCALAJI",0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.333333333333333,0.333333333333333,"Marinisomatota",77.17,"incomplete"
"3156","MALA_SAMN05421707_METAG_IOLFEMLM",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",87.84,"incomplete"
"3157","MALA_SAMN05421707_METAG_KMGHKJGI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",85.8,"auxotroph"
"3158","MALA_SAMN05421707_METAG_LOOBFDDK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",90.9,"auxotroph"
"3159","MALA_SAMN05421707_METAG_MCBJCHFE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",83.78,"auxotroph"
"3160","MALA_SAMN05421707_METAG_PEGACGMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",93.47,"auxotroph"
"3161","MALA_SAMN05421901_METAG_BFJNPCAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",97.65,"auxotroph"
"3162","MALA_SAMN05421901_METAG_DMKMJFKO",0,1,0,0,1,1,0,0,1,0.25,0.5,0.75,0.5,1,0.75,0.333333333333333,0.333333333333333,1,"Actinobacteriota",94.78,"assimilator"
"3163","MALA_SAMN05421901_METAG_DMLDKPEN",0,0,1,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0.5,0.333333333333333,0.666666666666667,0.666666666666667,"Chloroflexota",95.56,"incomplete"
"3164","MALA_SAMN05421901_METAG_ECPDFDGH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinisomatota",81.34,"auxotroph"
"3165","MALA_SAMN05421901_METAG_EFMBOOHE",0,0,0,0,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Alpha-Rhodobacter",96.5,"incomplete"
"3166","MALA_SAMN05421901_METAG_HHHFNJEP",0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,"Bacteroidota",88,"incomplete"
"3167","MALA_SAMN05421901_METAG_HLILIJEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",94.42,"auxotroph"
"3168","MALA_SAMN05421901_METAG_IACCKCGK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",84.27,"auxotroph"
"3169","MALA_SAMN05421901_METAG_IAJDHIGI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SAR324",92.04,"auxotroph"
"3170","MALA_SAMN05421901_METAG_IFPOOIAD",1,0,1,1,0,0,0,0,0,0.5,0.5,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.5,"Marinisomatota",96.55,"incomplete"
"3171","MALA_SAMN05421901_METAG_JEJANKDP",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",82,"incomplete"
"3172","MALA_SAMN05421901_METAG_KALOONEP",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Alteromonas",85.44,"assimilator"
"3173","MALA_SAMN05421901_METAG_MAAIMCHC",0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.25,0.25,0,0,0,0.5,"Gamma-Other",91.13,"incomplete"
"3174","MALA_SAMN05421901_METAG_NCIHGEED",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",93.52,"incomplete"
"3175","MALA_SAMN05421901_METAG_PHAMLKIL",0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,"Alpha-Other",80.16,"incomplete"
"3176","MALA_SAMN05421913_METAG_BABGNDHC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",83.36,"auxotroph"
"3177","MALA_SAMN05421913_METAG_EAEALFFM",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Gamma-Other",78.02,"assimilator"
"3178","MALA_SAMN05421913_METAG_FAHHIFON",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Alteromonas",78.31,"assimilator"
"3179","MALA_SAMN05421913_METAG_FEOEAFNE",1,0,1,1,1,0,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,"Gamma-Other",92.8,"incomplete"
"3180","MALA_SAMN05421913_METAG_LICMHBMD",1,1,0,1,1,1,0,1,1,1,1,1,0.75,1,0.75,0.666666666666667,0.333333333333333,1,"Actinobacteriota",99.34,"assimilator"
"3181","MALA_SAMN05421913_METAG_ODIEKPBC",1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,"Alpha-Rhodobacter",99.27,"assimilator"
"3182","MALA_SAMN05422104_METAG_BCHNAELP",1,1,0,1,1,0,0,0,0,0.5,0.5,0.5,0.25,0.5,0.25,0.333333333333333,0,0.5,"Gamma-Other",88.52,"incomplete"
"3183","MALA_SAMN05422104_METAG_EJLOAAOE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",93.08,"auxotroph"
"3184","MALA_SAMN05422104_METAG_HGDEBLDB",0,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"SAR324",90.34,"incomplete"
"3185","MALA_SAMN05422104_METAG_HGLFHJJK",0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,"Bacteria-Other",90.38,"incomplete"
"3186","MALA_SAMN05422104_METAG_HICMFKHG",1,0,1,1,1,0,0,1,1,0.75,0.75,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,"Gamma-Other",97.89,"incomplete"
"3187","MALA_SAMN05422104_METAG_HIONBNBB",0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Alpha-Rhodobacter",79.14,"incomplete"
"3188","MALA_SAMN05422104_METAG_HLBJELGG",0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.25,0.25,0,0,0,0.5,"Gamma-Other",84,"incomplete"
"3189","MALA_SAMN05422104_METAG_JDCGNJAG",1,0,1,1,0,1,0,1,1,1,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,1,"Alpha-Rhodobacter",99.32,"assimilator"
"3190","MALA_SAMN05422104_METAG_KIJJMMJF",0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.25,0.25,0,0,0,0.5,"Actinobacteriota",76.58,"incomplete"
"3191","MALA_SAMN05422104_METAG_PCPNKIBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",84.54,"auxotroph"
"3192","MALA_SAMN05422104_METAG_PGJOPCKD",0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.75,0.75,0.5,0,0,1,"Gamma-Other",76.83,"assimilator"
"3193","MALA_SAMN05422104_METAG_PHCGJOCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",81.77,"auxotroph"
"3194","MALA_SAMN05422106_METAG_AIGJNLAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",88.2,"auxotroph"
"3195","MALA_SAMN05422106_METAG_GCBKKIGJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",81.9,"auxotroph"
"3196","MALA_SAMN05422106_METAG_GCKIENGJ",0,0,0,0,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Alpha-Rhodobacter",91.1,"incomplete"
"3197","MALA_SAMN05422106_METAG_HFHHOFMB",1,0,1,1,0,1,0,1,0,1,0.75,0.5,0.75,0.25,0.5,0.333333333333333,0.333333333333333,1,"Alpha-Rhodobacter",82.3,"assimilator"
"3198","MALA_SAMN05422106_METAG_IKNIELCH",0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.75,1,0.75,0.333333333333333,0.333333333333333,1,"Gamma-Alteromonas",95.49,"assimilator"
"3199","MALA_SAMN05422107_METAG_APDJIHBC",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",82.43,"incomplete"
"3200","MALA_SAMN05422107_METAG_BHNCMDMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SAR324",92.48,"auxotroph"
"3201","MALA_SAMN05422107_METAG_BKFNJHPG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Archaea-Other",83.89,"auxotroph"
