"","Step1:rlp1_align","Step1:K25035","Step2:cupin_align","Step3:met17_align"
"TARA_SAMEA2621092_METAG_EDAHHCLF",0,0,0,1
"TARA_SAMEA2621092_METAG_MNBADHMM",0,0,0,1
"TARA_SAMEA2621092_METAG_KNKHCJHM",0,0,0,1
"TARA_SAMEA2621092_METAG_FJINIAPL",0,0,0,1
"TARA_SAMEA2622923_METAG_BLCMMNMK",0,0,0,1
"TARA_SAMEA2622923_METAG_MGEOHPPC",1,0,1,1
"TARA_SAMEA2622923_METAG_DLBMCHKI",0,0,0,1
"TARA_SAMEA2622923_METAG_HGEKPCMK",0,0,0,1
"TARA_SAMEA2622923_METAG_EMLLKKAP",0,0,0,1
"TARA_SAMEA2619782_METAG_LECKGFMA",0,0,1,0
"TARA_SAMEA2622197_METAG_NOOFNLMA",0,0,0,0
"TARA_SAMEA2622197_METAG_AHIAANGA",0,0,0,0
"TARA_SAMEA2622817_METAG_HFKKOABJ",0,0,1,1
"TARA_SAMEA2622817_METAG_OKMLEGOP",0,0,0,1
"TARA_SAMEA2622817_METAG_PAOJBCMI",0,0,1,1
"TARA_SAMEA2620097_METAG_DKFENENJ",0,0,0,0
"TARA_SAMEA2622817_METAG_OOBOPGCB",0,0,1,1
"TARA_SAMEA2620097_METAG_HFOEEPHM",0,0,0,0
"TARA_SAMEA2620217_METAG_HPEPGKFN",1,0,0,1
"TARA_SAMEA2621037_METAG_DMONIPKE",0,0,1,0
"TARA_SAMEA2623919_METAG_MOCMJJFC",0,0,1,0
"TARA_SAMEA2623098_METAG_FANCJCNI",0,0,0,0
"TARA_SAMEA2623059_METAG_COPHGLDM",0,0,0,1
"TARA_SAMEA2623098_METAG_JKDPHIMK",0,0,0,0
"TARA_SAMEA2622429_METAG_PABDENCI",0,0,1,1
"TARA_SAMEA2622429_METAG_ENOMBGBB",0,0,0,1
"TARA_SAMEA2620970_METAG_AFCLEHIJ",0,0,0,0
"TARA_SAMEA2620570_METAG_ALEKCCPF",0,0,0,1
"TARA_SAMEA2621216_METAG_LCPHBNHL",0,0,1,1
"TARA_SAMEA2621216_METAG_ICKIJPCP",0,0,0,1
"TARA_SAMEA2621216_METAG_DIJMOGIJ",0,0,0,1
"TARA_SAMEA2623098_METAG_EDLKEANA",0,0,0,0
"TARA_SAMEA2623850_METAG_PKFIFONF",0,0,1,1
"TARA_SAMEA4397516_METAG_AKNNEAFL",0,0,1,0
"TARA_SAMEA4396496_METAG_MKDOBIDO",0,0,1,0
"TARA_SAMEA4397611_METAG_BIBHMCKG",0,0,0,0
"TARA_SAMEA4398296_METAG_BHFIHCIN",0,0,0,0
"TARA_SAMEA4396424_METAG_BAEILIPE",0,0,1,0
"TARA_SAMEA4397072_METAG_PKKNEGIC",0,0,1,0
"TARA_SAMEA4397730_METAG_NAAGEJKI",0,0,1,0
"TARA_SAMEA4397730_METAG_CGKHBPDI",0,0,0,0
"TARA_SAMEA4397004_METAG_IHHBJLCI",0,0,1,0
"TARA_SAMEA4397004_METAG_CJFEJGJC",0,0,0,0
"TARA_SAMEA2620259_METAG_PGONCNJB",1,0,0,1
"TARA_SAMEA4397004_METAG_APGPPGIF",0,0,1,0
"TARA_SAMEA2623756_METAG_NGMEPLPD",0,0,0,1
"TARA_SAMEA2623756_METAG_HKPDJOCC",0,0,1,1
"TARA_SAMEA2623756_METAG_DIFAIHGK",0,0,1,0
"TARA_SAMEA2623295_METAG_PBMODMKI",0,0,0,1
"TARA_SAMEA2623295_METAG_OEELFJLO",0,0,1,1
"TARA_SAMEA2623295_METAG_IPBPBJLG",0,0,0,0
"TARA_SAMEA2623295_METAG_DAILCLPL",0,0,1,1
"TARA_SAMEA2623295_METAG_MKEAPDPE",0,0,1,0
"TARA_SAMEA2623295_METAG_MIAOBIAB",0,0,0,1
"TARA_SAMEA2623295_METAG_JBGGNOML",0,0,0,1
"TARA_SAMEA2623314_METAG_OEOAEOGF",0,0,0,1
"TARA_SAMEA2623314_METAG_CDCCMGKJ",0,0,1,0
"TARA_SAMEA2623314_METAG_CABJDPJE",0,0,1,1
"TARA_SAMEA2623314_METAG_GHDMDBCP",0,0,0,1
"TARA_SAMEA2623314_METAG_JPFFKCLB",0,0,1,1
"TARA_SAMEA2623314_METAG_FFIPIHPP",0,0,1,1
"TARA_SAMEA2623314_METAG_JMALCLKL",0,0,0,1
"TARA_SAMEA2619802_METAG_ECINHOON",0,0,0,1
"TARA_SAMEA2619802_METAG_EMGKHKHB",0,0,1,1
"TARA_SAMEA2623826_METAG_HLKFIAML",1,0,1,1
"TARA_SAMEA2623826_METAG_PKKEMJGB",0,0,0,1
"TARA_SAMEA4397004_METAG_LJEBNEFA",0,0,0,0
"TARA_SAMEA4396468_METAG_KNBKENOM",0,0,0,0
"TARA_SAMEA4396468_METAG_KFFPEADN",0,0,0,0
"TARA_SAMEA4396468_METAG_PLAPLEME",0,0,0,0
"TARA_SAMEA4396468_METAG_OGMFLCOK",0,0,1,0
"TARA_SAMEA2622766_METAG_CKNHBMFD",0,0,0,1
"TARA_SAMEA2622766_METAG_DIHIBLAE",0,0,1,1
"TARA_SAMEA2622766_METAG_HILBNNEI",0,0,0,1
"TARA_SAMEA2622766_METAG_PAPLMLMG",0,0,1,1
"TARA_SAMEA2622766_METAG_HNKKLNLI",0,0,1,1
"TARA_SAMEA4396468_METAG_HOMJJDMG",0,0,0,0
"TARA_SAMEA4396468_METAG_JGADJKGL",0,0,0,0
"TARA_SAMEA2622766_METAG_LKEFLBGI",0,0,1,1
"BGEO_SAMN07136687_METAG_PFCMEKHJ",0,0,0,0
"TARA_SAMEA2621839_METAG_GAKBCGLM",0,0,0,1
"TARA_SAMEA2621839_METAG_BAMPLDFN",0,0,1,1
"TARA_SAMEA2621839_METAG_DPEBIMED",0,0,0,1
"TARA_SAMEA2621839_METAG_ANBHOAOJ",0,0,0,1
"TARA_SAMEA2621839_METAG_EOBFGPGM",0,0,0,1
"TARA_SAMEA2621839_METAG_ECLMIDKH",0,0,1,1
"TARA_SAMEA2621839_METAG_ANAFGPCM",0,0,0,1
"TARA_SAMEA2621839_METAG_LHFAFOHJ",0,0,1,1
"TARA_SAMEA2621839_METAG_EPBMPFOI",0,0,1,1
"TARA_SAMEA2621839_METAG_GCOOPFIN",0,0,0,1
"TARA_SAMEA2623275_METAG_FLNGINEK",0,0,0,1
"TARA_SAMEA2623275_METAG_GEAFKOBE",0,0,1,1
"HOTS_SAMN07137056_METAG_LCBDCCBB",0,0,0,0
"BGEO_SAMN07136562_METAG_ILDIOGHP",0,0,0,0
"BGEO_SAMN07136587_METAG_DFBAILDJ",0,0,0,0
"BGEO_SAMN07136915_METAG_KFFKKJBL",0,0,0,0
"BATS_SAMN07137078_METAG_CCKNAKNE",0,0,0,0
"TARA_SAMEA2623868_METAG_KJBFMAKK",0,0,0,1
"TARA_SAMEA2623868_METAG_JEIOPHON",0,0,0,1
"BATS_SAMN07137078_METAG_FKGLNMKE",0,0,0,0
"TARA_SAMEA2623868_METAG_JJDMACDB",0,0,0,1
"TARA_SAMEA2622499_METAG_KIKCDOAG",0,0,1,1
"TARA_SAMEA2622499_METAG_BNNHDLMF",1,0,0,1
"BATS_SAMN07137078_METAG_LOGCJKGH",0,0,0,0
"BATS_SAMN07137091_METAG_LHOEBINA",0,0,0,0
"HOTS_SAMN07137053_METAG_ANENEFCO",0,0,0,0
"HOTS_SAMN07137035_METAG_JFFMLCBK",0,0,0,0
"BGEO_SAMN07136624_METAG_LMOIGCAF",0,0,0,0
"BATS_SAMN07137095_METAG_ODCGBIFA",0,0,0,0
"BGEO_SAMN07136823_METAG_KCGOPDAO",0,0,0,0
"BGEO_SAMN07136704_METAG_GGBJBPNJ",0,0,0,0
"TARA_SAMEA2622074_METAG_DICDCFLD",0,0,1,1
"TARA_SAMEA2622074_METAG_FNKBHPHK",0,0,0,1
"TARA_SAMEA2623794_METAG_KJABABLA",0,0,1,0
"TARA_SAMEA2623794_METAG_EPELCFGL",0,0,1,0
"TARA_SAMEA2623794_METAG_JKKMCGGO",0,0,0,1
"TARA_SAMEA2622097_METAG_DGLIKEIP",0,0,1,1
"TARA_SAMEA2622097_METAG_MIHHGABE",0,0,0,1
"TARA_SAMEA2622097_METAG_NFKPCCND",0,0,1,1
"TARA_SAMEA2622097_METAG_DNGGBMJM",0,0,1,1
"TARA_SAMEA2622097_METAG_AOMBDELM",0,0,0,1
"HOTS_SAMN07137057_METAG_MNBHOAGC",0,0,0,0
"HOTS_SAMN07137057_METAG_MGKKCAMH",0,0,0,0
"TARA_SAMEA2622097_METAG_LOADCEEJ",0,0,0,1
"TARA_SAMEA2622097_METAG_NJHDCKNM",0,0,0,1
"TARA_SAMEA2621779_METAG_DJKNFFGC",0,0,1,1
"TARA_SAMEA2621779_METAG_EHKBNHOM",0,0,0,1
"TARA_SAMEA2621779_METAG_CHFNGBLD",0,0,0,1
"TARA_SAMEA2621779_METAG_IOENAFMJ",0,0,0,1
"TARA_SAMEA2621779_METAG_IKCCLALK",0,0,0,1
"TARA_SAMEA2621779_METAG_FFOMKALB",0,0,0,1
"TARA_SAMEA2621779_METAG_LGFFDPJO",0,0,0,1
"TARA_SAMEA2621779_METAG_OHNLPFCP",0,0,0,1
"TARA_SAMEA2621779_METAG_CJLKOHLH",0,0,0,1
"TARA_SAMEA2621779_METAG_PJPEGHIC",0,0,0,1
"TARA_SAMEA2619766_METAG_JHGDMCFI",0,0,0,1
"TARA_SAMEA2619766_METAG_NCAMPJEC",0,0,0,1
"TARA_SAMEA2619766_METAG_JICOEDKJ",0,0,0,1
"TARA_SAMEA2619766_METAG_OKECAPJE",0,0,0,1
"TARA_SAMEA2619766_METAG_FNMHPMJG",0,0,1,1
"TARA_SAMEA2619766_METAG_DIMCKEKF",0,0,0,1
"TARA_SAMEA2619766_METAG_AKBKGHFF",0,0,0,1
"TARA_SAMEA2619766_METAG_DAAIJCHL",0,0,0,1
"TARA_SAMEA2619766_METAG_CKCFMIPM",0,0,0,0
"TARA_SAMEA2622219_METAG_FLMMGJJK",0,0,1,1
"TARA_SAMEA2622219_METAG_IBJHCFCC",0,0,0,1
"TARA_SAMEA2622219_METAG_GFNOGGCG",1,0,0,1
"HOTS_SAMN07137057_METAG_LCOLFEPF",0,0,0,0
"BGEO_SAMN07136546_METAG_FFNCAPFA",0,0,0,0
"BGEO_SAMN07136546_METAG_BGNFPFBA",0,0,0,0
"TARA_SAMEA2622048_METAG_NFCGIFOD",1,0,0,1
"TARA_SAMEA2591108_METAG_GFDBEGOL",0,0,0,1
"TARA_SAMEA2591108_METAG_FMLONJGL",0,0,0,1
"TARA_SAMEA2591108_METAG_LPAOAKBG",0,0,0,1
"TARA_SAMEA2591108_METAG_AIALCKIA",0,0,0,1
"TARA_SAMEA2621272_METAG_AKENJOIK",0,0,1,1
"BGEO_SAMN07136546_METAG_LNAFOLMO",0,0,0,0
"BGEO_SAMN07136782_METAG_CBHADLCK",0,0,0,0
"TARA_SAMEA2623649_METAG_GDJFEMEE",0,0,0,1
"TARA_SAMEA2623649_METAG_NPCEHFOG",0,0,1,0
"TARA_SAMEA2623649_METAG_PLGDFCNB",0,0,1,0
"TARA_SAMEA2623649_METAG_PDMFMGEL",0,0,0,1
"TARA_SAMEA2623649_METAG_MHPAEPEK",0,0,0,1
"TARA_SAMEA2623426_METAG_CHBLKOJD",0,0,0,1
"TARA_SAMEA2623426_METAG_LFCPIGBD",0,0,1,1
"TARA_SAMEA2623426_METAG_LGAMDCOL",1,0,0,1
"TARA_SAMEA2623426_METAG_HKIOPODF",0,0,0,1
"TARA_SAMEA2622837_METAG_CJEHOFFG",0,0,1,1
"TARA_SAMEA2622837_METAG_EPMHDJGB",0,0,0,1
"TARA_SAMEA2622837_METAG_KBBJICNN",0,0,1,1
"TARA_SAMEA2622837_METAG_JKPGOPEF",0,0,1,1
"TARA_SAMEA2622837_METAG_PNJGGMAN",0,0,1,0
"TARA_SAMEA2622837_METAG_GCPDHFOM",0,0,1,1
"TARA_SAMEA2622837_METAG_KACCJKKA",0,0,0,1
"TARA_SAMEA2622837_METAG_HDJIBDFJ",1,0,0,1
"TARA_SAMEA2622837_METAG_NLNJFLDD",0,0,0,1
"TARA_SAMEA2622837_METAG_NBNKOHEB",0,0,0,1
"TARA_SAMEA2622837_METAG_GFIBMHDN",0,0,1,0
"TARA_SAMEA2622837_METAG_MFKGCOCC",0,0,1,0
"TARA_SAMEA2622837_METAG_ICDPLGJC",0,0,0,1
"TARA_SAMEA2622837_METAG_CNKCOLBL",0,0,1,0
"TARA_SAMEA2619399_METAG_IHIJKNKA",0,0,0,1
"BGEO_SAMN07136626_METAG_AAIPAPOF",0,0,1,0
"TARA_SAMEA2620734_METAG_NCNADFAP",0,0,0,1
"BGEO_SAMN07136657_METAG_ABJNJICJ",0,0,0,0
"TARA_SAMEA2620855_METAG_ECJMJFBM",1,0,0,1
"TARA_SAMEA2621287_METAG_DKFGCKHM",0,0,0,1
"TARA_SAMEA2619531_METAG_FLAJGHOH",1,0,0,1
"TARA_SAMEA2619531_METAG_JLLPIFLH",0,0,1,1
"TARA_SAMEA2619531_METAG_LLOIFEGM",0,0,0,1
"TARA_SAMEA2619531_METAG_PANCIAJK",0,0,0,1
"TARA_SAMEA2619531_METAG_OBJCLPHJ",0,0,0,1
"TARA_SAMEA2619531_METAG_HDKMKFKJ",0,0,1,1
"TARA_SAMEA2619531_METAG_HKBDFOKD",0,0,0,1
"TARA_SAMEA2619531_METAG_DKJMFCKE",0,0,0,1
"BGEO_SAMN07136593_METAG_KMNDHPCA",0,0,0,0
"TARA_SAMEA2619531_METAG_PHDFCECG",0,0,0,1
"BATS_SAMN07137102_METAG_NDIIBKGA",0,0,0,0
"BATS_SAMN07137102_METAG_COMJKHCH",0,0,0,0
"BATS_SAMN07137102_METAG_EPCHDKJO",0,0,0,0
"TARA_SAMEA2621812_METAG_EINIOJLI",0,0,0,1
"TARA_SAMEA2621812_METAG_NHHPCCBJ",0,0,1,1
"TARA_SAMEA2621812_METAG_JPOAFLIB",0,0,1,1
"TARA_SAMEA2621812_METAG_ODFIDOJD",0,0,0,1
"TARA_SAMEA2621812_METAG_BAHJGJDL",0,0,0,1
"TARA_SAMEA2621812_METAG_BDJMHFJE",0,0,0,1
"TARA_SAMEA2621812_METAG_FLEPIGME",0,0,0,1
"TARA_SAMEA2621812_METAG_FAIEKJIP",0,0,0,0
"TARA_SAMEA2621812_METAG_NNNLJDKI",0,0,0,1
"TARA_SAMEA2619782_METAG_DJKHELNO",0,0,0,1
"TARA_SAMEA2619782_METAG_GDBMFOGC",0,0,0,1
"TARA_SAMEA2619782_METAG_ICCHPAAB",0,0,1,1
"TARA_SAMEA2619782_METAG_GNOKCJAM",0,0,0,1
"TARA_SAMEA2622690_METAG_BJAPEPHH",0,0,0,1
"TARA_SAMEA2622690_METAG_NLCIDLIH",0,0,0,1
"TARA_SAMEA2622690_METAG_LPHGFNJJ",0,0,1,1
"TARA_SAMEA2622690_METAG_JJCCBNKF",0,0,0,1
"TARA_SAMEA2622690_METAG_DBLGILAC",0,0,0,1
"TARA_SAMEA2621990_METAG_IFAAFFGP",0,0,0,1
"TARA_SAMEA2623350_METAG_MPGKLGHL",0,0,0,1
"BGEO_SAMN07136573_METAG_IDHPFGDD",0,0,0,0
"TARA_SAMEA2623350_METAG_PPDIABML",0,0,0,1
"TARA_SAMEA2623350_METAG_HOOADIOJ",0,0,1,1
"BGEO_SAMN07136573_METAG_NCIMDDKK",0,0,0,0
"TARA_SAMEA2622197_METAG_GMLIEILM",0,0,0,1
"TARA_SAMEA2622197_METAG_FOHBEAPP",0,0,0,1
"TARA_SAMEA2622197_METAG_EBGAILGH",0,0,0,1
"TARA_SAMEA2622197_METAG_CODLOLNK",0,0,1,1
"TARA_SAMEA2622197_METAG_NDPNFKOB",0,0,0,1
"TARA_SAMEA2620097_METAG_EMGCDCCC",1,0,0,1
"TARA_SAMEA2620097_METAG_EKFMMPGJ",0,0,1,1
"TARA_SAMEA2620097_METAG_OBECELCH",0,0,0,1
"TARA_SAMEA2620097_METAG_OFBNPCKJ",0,0,1,1
"TARA_SAMEA2620097_METAG_OLFDECGB",0,0,1,1
"TARA_SAMEA2620097_METAG_PHOPNAGB",1,0,1,1
"TARA_SAMEA2620097_METAG_NKPANOBH",0,0,0,1
"TARA_SAMEA2620097_METAG_GBCLGIOP",0,0,0,1
"TARA_SAMEA2621037_METAG_POADJELM",0,0,0,1
"TARA_SAMEA2621037_METAG_LMFEMLDO",0,0,0,1
"TARA_SAMEA2620651_METAG_LKCLNKJD",0,0,1,1
"TARA_SAMEA2622545_METAG_BODEGDKE",0,0,0,0
"TARA_SAMEA2622545_METAG_ODBBDHAI",0,0,0,1
"TARA_SAMEA2622545_METAG_PFHJMAEI",0,0,1,1
"BGEO_SAMN07136573_METAG_MIIAIMDD",0,0,0,0
"BGEO_SAMN07136573_METAG_FIDPCABO",0,0,0,0
"TARA_SAMEA2622545_METAG_FKMFCMGK",0,0,1,1
"TARA_SAMEA2591074_METAG_NACKDJPK",0,0,1,1
"TARA_SAMEA2591074_METAG_LANPHCDG",0,0,1,1
"BATS_SAMN07137081_METAG_JOIFECEI",0,0,0,0
"TARA_SAMEA2591074_METAG_LFEPEBLC",0,0,0,1
"TARA_SAMEA2619840_METAG_EMFHCBHH",0,0,1,1
"TARA_SAMEA2619840_METAG_AEBDNPKM",0,0,0,1
"TARA_SAMEA2619840_METAG_OIFPMHKO",0,0,0,1
"TARA_SAMEA2619840_METAG_CMIEEJHO",0,0,0,1
"TARA_SAMEA2619840_METAG_OCEIKOHK",0,0,0,1
"TARA_SAMEA2619840_METAG_DBFGBMAE",0,0,1,1
"TARA_SAMEA2619840_METAG_NMLLPFEM",0,0,0,1
"TARA_SAMEA2623098_METAG_KMJLKJJA",0,0,0,1
"TARA_SAMEA2623098_METAG_JMFGEMBI",0,0,0,1
"TARA_SAMEA4397157_METAG_IBEAFJKM",0,0,0,1
"TARA_SAMEA4397157_METAG_KDOFOHPM",0,0,0,1
"TARA_SAMEA4397157_METAG_JIOFDCEK",0,0,0,1
"TARA_SAMEA4397705_METAG_ODDHKJJE",0,0,1,1
"TARA_SAMEA4397705_METAG_GHACFAMN",0,0,0,1
"TARA_SAMEA4397705_METAG_BCFHDOBA",0,0,0,1
"TARA_SAMEA4397705_METAG_NALGBPNC",0,0,0,1
"TARA_SAMEA4397516_METAG_NDKGCCDJ",1,0,0,1
"TARA_SAMEA4397516_METAG_EBBGLPFF",0,0,0,1
"TARA_SAMEA4397516_METAG_AALEPAOP",0,0,0,1
"TARA_SAMEA4397516_METAG_KJEGDAGN",0,0,0,1
"TARA_SAMEA4397516_METAG_JDIBHOJP",0,0,0,1
"BATS_SAMN07137123_METAG_IILMAHAI",0,0,0,0
"BATS_SAMN07137123_METAG_ANBBFANE",0,0,0,0
"BATS_SAMN07137123_METAG_INOEJIID",0,0,0,0
"BATS_SAMN07137123_METAG_NKLJPKGI",0,0,0,0
"BATS_SAMN07137101_METAG_LGIPJDHD",0,0,0,0
"TARA_SAMEA4396496_METAG_NBDKNACP",0,0,0,1
"TARA_SAMEA4396496_METAG_FNFDMJKC",0,0,0,1
"BGEO_SAMN07136660_METAG_EPOAIPOL",0,0,0,0
"TARA_SAMEA4397239_METAG_HJNIHAKH",1,0,0,1
"TARA_SAMEA4397239_METAG_DCPIJIKB",1,0,0,1
"TARA_SAMEA4397239_METAG_KIGFFLFH",0,0,0,1
"TARA_SAMEA4397239_METAG_JJEOKNIH",0,0,0,1
"TARA_SAMEA4397239_METAG_GIFBBHAD",0,0,0,1
"TARA_SAMEA4397930_METAG_POFKKLGC",0,0,1,1
"TARA_SAMEA4397930_METAG_DOBBBCOB",0,0,0,1
"BGEO_SAMN07136596_METAG_IEJNCJCJ",0,0,0,0
"BGEO_SAMN07136754_METAG_DJOGDFOL",0,0,1,0
"TARA_SAMEA4397611_METAG_IDOOEIHM",0,0,0,1
"TARA_SAMEA4397611_METAG_KHHCEHLO",0,0,0,1
"TARA_SAMEA4397611_METAG_FLGMLKHF",0,0,0,1
"TARA_SAMEA4397611_METAG_DFMOODGF",0,0,0,1
"TARA_SAMEA4397756_METAG_APMELJLJ",0,0,0,1
"TARA_SAMEA4397756_METAG_LJOJEEDK",0,0,0,1
"TARA_SAMEA4397756_METAG_JPLKMHGH",0,0,1,1
"TARA_SAMEA4397756_METAG_DHDMFHMK",0,0,0,1
"TARA_SAMEA4398296_METAG_PFKAPLJD",0,0,0,1
"BGEO_SAMN07136710_METAG_ACAOCAEH",0,0,0,0
"TARA_SAMEA4397196_METAG_MJLENMMN",0,0,0,1
"TARA_SAMEA4397196_METAG_OINJKPLG",0,0,0,1
"TARA_SAMEA4397196_METAG_FFCENLPK",0,0,1,1
"TARA_SAMEA4397196_METAG_IJJFFEGM",0,0,0,1
"TARA_SAMEA4397196_METAG_HPBAEHFE",0,0,0,1
"TARA_SAMEA4397983_METAG_CAKBINKG",0,0,0,1
"TARA_SAMEA4397983_METAG_MEKKFNAH",0,0,0,1
"TARA_SAMEA4397983_METAG_OHGDJPLH",0,0,0,1
"TARA_SAMEA4397983_METAG_PNLPJJPE",0,0,0,1
"TARA_SAMEA4397983_METAG_HOGIJCNN",0,0,0,1
"TARA_SAMEA4398094_METAG_OJMOCGOF",0,0,1,1
"TARA_SAMEA4398094_METAG_OJPBDFHD",0,0,0,1
"TARA_SAMEA4398094_METAG_INJPOFNE",0,0,0,1
"TARA_SAMEA4398094_METAG_IPHNBGGN",0,0,0,1
"TARA_SAMEA4398094_METAG_ANFIMAOB",0,0,0,1
"TARA_SAMEA4398094_METAG_MIMNPEIB",0,0,0,1
"TARA_SAMEA4398094_METAG_KKNEAOBO",0,0,0,1
"TARA_SAMEA4398094_METAG_JJMEBHKA",0,0,0,1
"BGEO_SAMN07136571_METAG_ODEHKAKI",0,0,0,0
"TARA_SAMEA4398094_METAG_PPENHHIB",0,0,0,1
"TARA_SAMEA4398150_METAG_KIBLPKND",0,0,0,1
"TARA_SAMEA4398150_METAG_NCKHLIJD",0,0,0,1
"TARA_SAMEA4398150_METAG_KMLGCPFN",0,0,0,1
"TARA_SAMEA4398150_METAG_KBLPGJCC",0,0,0,1
"BGEO_SAMN07136665_METAG_CPJNGPEN",0,0,0,0
"TARA_SAMEA4397842_METAG_DGOAJPAF",0,0,0,1
"TARA_SAMEA4397842_METAG_FGPAFNIL",0,0,1,1
"TARA_SAMEA4397842_METAG_OFKADANH",0,0,0,1
"TARA_SAMEA4397842_METAG_MAGMCBCN",0,0,1,1
"TARA_SAMEA4397842_METAG_HPJDDBIJ",0,0,0,1
"TARA_SAMEA4397842_METAG_FMPKDFBD",0,0,0,1
"TARA_SAMEA4397034_METAG_HLKGJGFF",0,0,1,1
"TARA_SAMEA4397034_METAG_CLOPGLJM",0,0,0,1
"TARA_SAMEA4397034_METAG_CDOKMMFO",0,0,0,1
"TARA_SAMEA4397034_METAG_MIEOMGDP",0,0,0,1
"TARA_SAMEA4397034_METAG_KCGNOJOH",0,0,0,1
"TARA_SAMEA4397426_METAG_APFFFHCD",0,0,0,1
"TARA_SAMEA4397426_METAG_CIJOHEIH",0,0,1,1
"TARA_SAMEA4397426_METAG_ICMDCNOO",0,0,0,1
"TARA_SAMEA4397426_METAG_BAFGKOPN",0,0,0,1
"TARA_SAMEA4397426_METAG_GKIHHFAK",0,0,1,1
"TARA_SAMEA4397426_METAG_ONABEJEN",0,0,0,1
"TARA_SAMEA4396424_METAG_PPKKHDKG",0,0,0,1
"TARA_SAMEA4396424_METAG_JJMBMKOJ",1,0,0,1
"TARA_SAMEA4396424_METAG_NFOBHBDJ",0,0,0,1
"TARA_SAMEA4398219_METAG_JDMHIOCG",0,0,0,1
"TARA_SAMEA4398219_METAG_NPOJDACF",0,0,0,1
"TARA_SAMEA4397390_METAG_DHBGJOOJ",0,0,0,1
"TARA_SAMEA4397390_METAG_CLKEDIOO",0,0,0,1
"TARA_SAMEA4397390_METAG_GAFMJBHP",0,0,0,1
"TARA_SAMEA4397390_METAG_MKEKPGMM",0,0,0,1
"TARA_SAMEA4397390_METAG_HBMLKJPP",0,0,0,1
"TARA_SAMEA4397903_METAG_KKEOFKKF",0,0,0,1
"TARA_SAMEA4397903_METAG_EACLFILA",0,0,0,1
"TARA_SAMEA4397903_METAG_MGNAHOEC",0,0,0,1
"TARA_SAMEA4397903_METAG_PBFPIFJG",0,0,0,1
"TARA_SAMEA4397903_METAG_ILMCDBND",0,0,0,1
"TARA_SAMEA4398370_METAG_HMHCGPPA",0,0,0,1
"BATS_SAMN07137075_METAG_KAJODIAH",0,0,0,0
"BGEO_SAMN07136584_METAG_HNLCAFCO",0,0,0,0
"TARA_SAMEA4398009_METAG_OOMAOPDA",0,0,0,1
"TARA_SAMEA4398009_METAG_OBLJMAIF",0,0,1,1
"TARA_SAMEA4398009_METAG_IBOKKEMM",0,0,0,1
"TARA_SAMEA4398009_METAG_OLFLLAED",0,0,1,1
"TARA_SAMEA4398009_METAG_MHHMCPOL",0,0,0,1
"TARA_SAMEA4398009_METAG_DAPGBHMJ",0,0,0,1
"TARA_SAMEA4398009_METAG_KPONCMBK",0,0,0,1
"TARA_SAMEA4398009_METAG_HPHNJODO",0,0,0,1
"TARA_SAMEA4398009_METAG_GJDJCBCB",0,0,0,1
"BATS_SAMN08390925_METAG_EPPKNMDE",0,0,0,0
"TARA_SAMEA4398009_METAG_MHHGJLHN",0,0,0,1
"TARA_SAMEA4397798_METAG_ELHCINIB",0,0,0,1
"TARA_SAMEA4397798_METAG_KPEMIHHA",0,0,0,1
"TARA_SAMEA4397798_METAG_ICGPGMLG",1,0,0,1
"TARA_SAMEA4397798_METAG_IMEEKBBM",0,0,0,1
"TARA_SAMEA4397798_METAG_MEFBNAHG",0,0,0,1
"TARA_SAMEA4397798_METAG_NMDGLLNB",0,0,0,1
"TARA_SAMEA4397798_METAG_GNAKPBFC",0,0,0,1
"TARA_SAMEA4397798_METAG_PHOGAEKE",0,0,0,1
"TARA_SAMEA4397101_METAG_HFCPDLMO",0,0,0,1
"TARA_SAMEA4397101_METAG_CLEPOKGB",0,0,0,1
"TARA_SAMEA4397072_METAG_CFKOCGCE",0,0,0,1
"TARA_SAMEA4397072_METAG_JFMMDOJJ",0,0,0,1
"TARA_SAMEA4397072_METAG_LKMFNDMN",0,0,0,1
"TARA_SAMEA4397311_METAG_ENPFOOIL",0,0,0,1
"TARA_SAMEA4397311_METAG_CNLAMCIL",0,0,0,1
"TARA_SAMEA4397311_METAG_CIBFFKOL",0,0,0,1
"TARA_SAMEA4397311_METAG_JAIIFAHK",0,0,0,1
"TARA_SAMEA4397311_METAG_LDJAEEMD",0,0,0,1
"TARA_SAMEA4397311_METAG_JEKOGFCH",0,0,0,1
"TARA_SAMEA4398176_METAG_HBADDEJO",0,0,0,1
"TARA_SAMEA4398176_METAG_HPHONIMA",0,0,0,1
"TARA_SAMEA4398176_METAG_MJENGAPI",0,0,0,1
"TARA_SAMEA4398176_METAG_FOHNHOPL",0,0,0,1
"TARA_SAMEA4398176_METAG_IDOJJIND",0,0,0,1
"TARA_SAMEA4398176_METAG_HHDPALLJ",0,0,0,1
"TARA_SAMEA4398176_METAG_NPOFFBCA",0,0,0,1
"TARA_SAMEA4397355_METAG_IJBJPNIE",0,0,0,1
"TARA_SAMEA4397730_METAG_MIGCDIBN",0,0,0,1
"TARA_SAMEA4398067_METAG_LLFIOAIO",0,0,0,1
"TARA_SAMEA4398067_METAG_NOLKPMGL",1,0,0,1
"TARA_SAMEA4398067_METAG_EOECNMHJ",0,0,0,1
"TARA_SAMEA4398067_METAG_GPCNEGNO",1,0,0,1
