V1	V2	V3	V4	V5	V6	V7	V8
5339	*	TARA_SAMEA2622173_METAG-scaffold_4773-	K00003	278.03	516.1	5.5e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_EIJJNOAA
5340	*	TARA_SAMEA2622173_METAG-scaffold_14655-	K00003	278.03	424.7	2.3e-123	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_JFFMEDOI
5341	*	TARA_SAMEA2622173_METAG-scaffold_60422-	K00003	278.03	442.3	1.1e-128	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_KENBEKPB
5342	*	TARA_SAMEA2622173_METAG-scaffold_5324-	K00003	278.03	473.1	5.6e-138	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_EEMBLKHG
5343	*	TARA_SAMEA2622173_METAG-scaffold_2941-	K00003	278.03	515.2	1e-150	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_NHBAOIGL
5344	*	TARA_SAMEA2622173_METAG-scaffold_3319-	K00003	278.03	507.5	2.1e-148	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_LPFJLOON
5345	*	TARA_SAMEA2622173_METAG-scaffold_13638-	K00003	278.03	512.2	8e-150	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_PKMOOGJC
5346	*	TARA_SAMEA2622173_METAG-scaffold_3344-	K00003	278.03	479.1	8.6e-140	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_MBHCFFAC
5347	*	TARA_SAMEA2622173_METAG-scaffold_18951-	K00003	278.03	308	4.7e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_CBBLHLJM
5348	*	TARA_SAMEA2622173_METAG-scaffold_200-	K00003	278.03	430	6.1e-125	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_KMIFEPGA
5349	*	TARA_SAMEA2622173_METAG-scaffold_10575-	K00003	278.03	465.8	8.7e-136	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_OIIPLEDE
5350	*	TARA_SAMEA2622173_METAG-scaffold_307-	K00003	278.03	432	1.5e-125	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_CFKKAGFM
5351	*	TARA_SAMEA2622173_METAG-scaffold_2766-	K00003	278.03	414.5	3e-120	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_INKPNGGL
5352	*	TARA_SAMEA2622173_METAG-scaffold_2730-	K00003	278.03	433.3	5.9e-126	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_LAIOCNDO
5353	*	TARA_SAMEA2622173_METAG-scaffold_9243-	K00003	278.03	428.6	1.6e-124	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_PFJEPNCC
5354	*	TARA_SAMEA2622173_METAG-scaffold_25667-	K00003	278.03	460.3	4e-134	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_IFGNLHKL
5355	*	TARA_SAMEA2622173_METAG-scaffold_19953-	K00003	278.03	420.2	5.7e-122	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_POPKJCON
5356	*	TARA_SAMEA2622173_METAG-scaffold_4532-	K00003	278.03	421.4	2.4e-122	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_GIHOABOK
5357	*	TARA_SAMEA2622173_METAG-scaffold_25340-	K00003	278.03	425.6	1.3e-123	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_KDHNJNAI
5358	*	TARA_SAMEA2622173_METAG-scaffold_13481-	K00003	278.03	419.2	1.1e-121	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622173_METAG_EJHGMDCM
5359	*	TARA_SAMEA2623390_METAG-scaffold_53-	K00003	278.03	419.8	7.5e-122	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_GGBAEGIL
5360	*	TARA_SAMEA2623390_METAG-scaffold_2230-	K00003	278.03	531.5	1.2e-155	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_NEGDPLBP
5361	*	TARA_SAMEA2623390_METAG-scaffold_1833-	K00003	278.03	481	2.2e-140	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_GAKINMBA
5362	*	TARA_SAMEA2623390_METAG-scaffold_326-	K00003	278.03	517.7	1.8e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_PJGJFDLE
5363	*	TARA_SAMEA2623390_METAG-scaffold_407-	K00003	278.03	496.4	5e-145	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_EOCDHIGK
5364	*	TARA_SAMEA2623390_METAG-scaffold_36-	K00003	278.03	553.6	2.5e-162	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_BMIPDNDI
5365	*	TARA_SAMEA2623390_METAG-scaffold_2401-	K00003	278.03	465.1	1.4e-135	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_MOJFDBCO
5366	*	TARA_SAMEA2623390_METAG-scaffold_2590-	K00003	278.03	508.2	1.3e-148	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_MCIIPGCH
5367	*	TARA_SAMEA2623390_METAG-scaffold_9258-	K00003	278.03	524.1	2.1e-153	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_ILEABHBD
5368	*	TARA_SAMEA2623390_METAG-scaffold_2134-	K00003	278.03	512.9	5e-150	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_LNAPLDHH
5369	*	TARA_SAMEA2623390_METAG-scaffold_25-	K00003	278.03	519.3	5.8e-152	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_HMMMMLKI
5370	*	TARA_SAMEA2623390_METAG-scaffold_430-	K00003	278.03	505.3	9.9e-148	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_DEEMDONP
5371	*	TARA_SAMEA2623390_METAG-scaffold_3554-	K00003	278.03	512.2	8.3e-150	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_NBPBHNAJ
5372	*	TARA_SAMEA2623390_METAG-scaffold_225-	K00003	278.03	499.2	6.9e-146	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_AOMNGGCC
5373	*	TARA_SAMEA2623390_METAG-scaffold_24788-	K00003	278.03	325.1	3.2e-93	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_NACNCLMF
5374	*	TARA_SAMEA2623390_METAG-scaffold_50656-	K00003	278.03	347.7	4.7e-100	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_CNNLKKPH
5375	*	TARA_SAMEA2623390_METAG-scaffold_15534-	K00003	278.03	524.9	1.2e-153	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OAJBDMBM
5376	*	TARA_SAMEA2623390_METAG-scaffold_5925-	K00003	278.03	520.2	3.1e-152	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OONCEHDB
5377	*	TARA_SAMEA2623390_METAG-scaffold_928-	K00003	278.03	414.4	3.1e-120	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_HCBMCPMH
5378	*	TARA_SAMEA2623390_METAG-scaffold_1594-	K00003	278.03	511.5	1.3e-149	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_AJFFPIIB
5379	*	TARA_SAMEA2623390_METAG-scaffold_2105-	K00003	278.03	551.9	7.9e-162	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_DPDHLDNN
5380	*	TARA_SAMEA2623390_METAG-scaffold_496-	K00003	278.03	318.6	3.1e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_BKPADPMA
5381	*	TARA_SAMEA2623390_METAG-scaffold_9695-	K00003	278.03	505	1.2e-147	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_BGEELILG
5382	*	TARA_SAMEA2623390_METAG-scaffold_1310-	K00003	278.03	530.8	2e-155	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_CDFKAKLN
5383	*	TARA_SAMEA2623390_METAG-scaffold_6540-	K00003	278.03	411.6	2.2e-119	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_GNEIDFCC
5384	*	TARA_SAMEA2623390_METAG-scaffold_1026-	K00003	278.03	530	3.4e-155	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_NCAFBONB
5385	*	TARA_SAMEA2623390_METAG-scaffold_626-	K00003	278.03	516	5.6e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_DMLMGEMH
5386	*	TARA_SAMEA2623390_METAG-scaffold_9623-	K00003	278.03	430.3	4.7e-125	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_IMMOOHPH
5387	*	TARA_SAMEA2623390_METAG-scaffold_2905-	K00003	278.03	497.8	1.8e-145	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_DHELNGIE
5388	*	TARA_SAMEA2623390_METAG-scaffold_5266-	K00003	278.03	469.8	5.4e-137	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_JOADCGBA
5389	*	TARA_SAMEA2623390_METAG-scaffold_1161-	K00003	278.03	370	8.8e-107	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_JFMDKJEF
5390	*	TARA_SAMEA2623390_METAG-scaffold_4586-	K00003	278.03	413.3	6.8e-120	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_PMFDDDNI
5391	*	TARA_SAMEA2623390_METAG-scaffold_13162-	K00003	278.03	534.5	1.5e-156	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_ADCLFOIG
5392	*	TARA_SAMEA2623390_METAG-scaffold_17056-	K00003	278.03	376.7	8.1e-109	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_KCIBEPJC
5393	*	TARA_SAMEA2623390_METAG-scaffold_468-	K00003	278.03	356.8	8.3e-103	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_PJFILFEI
5394	*	TARA_SAMEA2623390_METAG-scaffold_14062-	K00003	278.03	510.8	2.2e-149	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_EOEGPGLG
5395	*	TARA_SAMEA2623390_METAG-scaffold_3315-	K00003	278.03	361.3	3.6e-104	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_CCHKCNHO
5396	*	TARA_SAMEA2623390_METAG-scaffold_26945-	K00003	278.03	357.9	3.9e-103	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_JGGCMOPO
5397	*	TARA_SAMEA2623390_METAG-scaffold_2525-	K00003	278.03	382.5	1.4e-110	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_LMNAJLNI
5398	*	TARA_SAMEA2623390_METAG-scaffold_18055-	K00003	278.03	535.4	8e-157	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_EAIJMGAF
5399	*	TARA_SAMEA2623390_METAG-scaffold_27854-	K00003	278.03	458	2.1e-133	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_MIHBIDOM
5400	*	TARA_SAMEA2623390_METAG-scaffold_1927-	K00003	278.03	406.8	6.1e-118	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OMIFILNF
5401	*	TARA_SAMEA2623390_METAG-scaffold_6213-	K00003	278.03	522.4	6.6e-153	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_FIJEJPHC
5402	*	TARA_SAMEA2623390_METAG-scaffold_12180-	K00003	278.03	427.9	2.7e-124	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_HJNKICBM
5403	*	TARA_SAMEA2623390_METAG-scaffold_13482-	K00003	278.03	504.4	1.9e-147	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_MCPAHKBN
5404	*	TARA_SAMEA2623390_METAG-scaffold_18047-	K00003	278.03	445.3	1.4e-129	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OIBIAIPC
5405	*	TARA_SAMEA2623390_METAG-scaffold_33193-	K00003	278.03	294.2	7e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OIBIAIPC
5406	*	TARA_SAMEA2623390_METAG-scaffold_8122-	K00003	278.03	379.4	1.2e-109	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_LOBGLJJA
5407	*	TARA_SAMEA2623390_METAG-scaffold_42083-	K00003	278.03	357.6	4.7e-103	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_BDOPOBHL
5408	*	TARA_SAMEA2623390_METAG-scaffold_37450-	K00003	278.03	513.2	4.2e-150	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_DCDEGPHM
5409	*	TARA_SAMEA2623390_METAG-scaffold_12741-	K00003	278.03	415	2.1e-120	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623390_METAG_OAAKPHFB
5410	*	TARA_SAMEA2623693_METAG-scaffold_2833-	K00003	278.03	475.8	8.3e-139	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_GIENLJFM
5411	*	TARA_SAMEA2623693_METAG-scaffold_1378-	K00003	278.03	477.4	2.7e-139	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_GHHPFIDC
5412	*	TARA_SAMEA2623693_METAG-scaffold_5-	K00003	278.03	477.9	1.9e-139	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_OLBFIODE
5413	*	TARA_SAMEA2623693_METAG-scaffold_633-	K00003	278.03	541	1.6e-158	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_GGAAIGGE
5414	*	TARA_SAMEA2623693_METAG-scaffold_43-	K00003	278.03	497.3	2.7e-145	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_GPOHIFOF
5415	*	TARA_SAMEA2623693_METAG-scaffold_6164-	K00003	278.03	542.6	5.2e-159	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_MEFDFGPN
5416	*	TARA_SAMEA2623693_METAG-scaffold_1539-	K00003	278.03	507.5	2.1e-148	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_MFBGBMMG
5417	*	TARA_SAMEA2623693_METAG-scaffold_1655-	K00003	278.03	474	2.9e-138	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_MOEAEENP
5418	*	TARA_SAMEA2623693_METAG-scaffold_450-	K00003	278.03	516.7	3.5e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_MLPGADLM
5419	*	TARA_SAMEA2623693_METAG-scaffold_3295-	K00003	278.03	458.9	1.1e-133	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_MIMDHFJN
5420	*	TARA_SAMEA2623693_METAG-scaffold_11510-	K00003	278.03	482.3	9.1e-141	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_HKFKDLGI
5421	*	TARA_SAMEA2623693_METAG-scaffold_6147-	K00003	278.03	541.1	1.5e-158	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_BIFEJPDE
5422	*	TARA_SAMEA2623693_METAG-scaffold_1478-	K00003	278.03	422.4	1.2e-122	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_BLBOEAOL
5423	*	TARA_SAMEA2623693_METAG-scaffold_4846-	K00003	278.03	408	2.8e-118	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_BCLHKMFG
5424	*	TARA_SAMEA2623693_METAG-scaffold_21814-	K00003	278.03	500.6	2.6e-146	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_GNMPGPJA
5425	*	TARA_SAMEA2623693_METAG-scaffold_1764-	K00003	278.03	560.6	1.9e-164	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_CPLJGJDD
5426	*	TARA_SAMEA2623693_METAG-scaffold_1658-	K00003	278.03	418.3	2.1e-121	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_DPIDOIJM
5427	*	TARA_SAMEA2623693_METAG-scaffold_2128-	K00003	278.03	504.9	1.3e-147	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2623693_METAG_EDBJPHIP
5428	*	TARA_SAMEA2620081_METAG-scaffold_362-	K00003	278.03	468.5	1.3e-136	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_MPICKOMB
5429	*	TARA_SAMEA2620081_METAG-scaffold_160-	K00003	278.03	494	2.6e-144	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_IKMDOJLD
5430	*	TARA_SAMEA2620081_METAG-scaffold_15-	K00003	278.03	546.8	2.8e-160	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_CGDDMMPH
5431	*	TARA_SAMEA2620081_METAG-scaffold_1185-	K00003	278.03	528.7	8.6e-155	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_LLGPNBFH
5432	*	TARA_SAMEA2620081_METAG-scaffold_373-	K00003	278.03	507.4	2.3e-148	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_FMCJCGOF
5433	*	TARA_SAMEA2620081_METAG-scaffold_1922-	K00003	278.03	389.9	7.8e-113	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_KABIFCHK
5434	*	TARA_SAMEA2620081_METAG-scaffold_2006-	K00003	278.03	473.2	5.1e-138	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_IOMPHDFN
5435	*	TARA_SAMEA2620081_METAG-scaffold_1267-	K00003	278.03	403.7	5.6e-117	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_BKDPKPAO
5436	*	TARA_SAMEA2620081_METAG-scaffold_3172-	K00003	278.03	491.9	1.1e-143	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_OGNNFGIH
5437	*	TARA_SAMEA2620081_METAG-scaffold_5-	K00003	278.03	470.7	2.9e-137	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_LAEPGECB
5438	*	TARA_SAMEA2620081_METAG-scaffold_4462-	K00003	278.03	547.2	2.2e-160	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_BJDCNMKD
5439	*	TARA_SAMEA2620081_METAG-scaffold_5951-	K00003	278.03	480.1	4.1e-140	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_FMPMFEFJ
5440	*	TARA_SAMEA2620081_METAG-scaffold_2274-	K00003	278.03	511.8	1.1e-149	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_IOBFFKLC
5441	*	TARA_SAMEA2620081_METAG-scaffold_2590-	K00003	278.03	525	1.1e-153	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_PFBMGFMF
5442	*	TARA_SAMEA2620081_METAG-scaffold_19084-	K00003	278.03	461.6	1.7e-134	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_MHBAAHOL
5443	*	TARA_SAMEA2620081_METAG-scaffold_17734-	K00003	278.03	548.7	7.3e-161	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_JKJEOLKJ
5444	*	TARA_SAMEA2620081_METAG-scaffold_83013-	K00003	278.03	452.8	7.5e-132	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_BEENOGND
5445	*	TARA_SAMEA2620081_METAG-scaffold_14613-	K00003	278.03	516.2	5.1e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_JKGIMADD
5446	*	TARA_SAMEA2620081_METAG-scaffold_6245-	K00003	278.03	411.2	2.9e-119	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_FMLNHDHH
5447	*	TARA_SAMEA2620081_METAG-scaffold_328-	K00003	278.03	359.1	1.7e-103	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_DCENBKOP
5448	*	TARA_SAMEA2620081_METAG-scaffold_4438-	K00003	278.03	427.3	3.9e-124	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_DGIPMFLH
5449	*	TARA_SAMEA2620081_METAG-scaffold_10159-	K00003	278.03	434.7	2.3e-126	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_JPJMDMBB
5450	*	TARA_SAMEA2620081_METAG-scaffold_25224-	K00003	278.03	476.3	6e-139	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_LBGEHAFG
5451	*	TARA_SAMEA2620081_METAG-scaffold_2633-	K00003	278.03	463.4	4.7e-135	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_HBMAHIHJ
5452	*	TARA_SAMEA2620081_METAG-scaffold_5454-	K00003	278.03	387.6	4e-112	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2620081_METAG_OGHLLPAC
5453	*	TARA_SAMEA2619970_METAG-scaffold_85-	K00003	278.03	388.8	1.8e-112	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_HDEILBHO
5454	*	TARA_SAMEA2619970_METAG-scaffold_2-	K00003	278.03	517.5	2.1e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_KIIHFBOD
5455	*	TARA_SAMEA2619970_METAG-scaffold_444-	K00003	278.03	524.6	1.5e-153	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_OIDOACNG
5456	*	TARA_SAMEA2619970_METAG-scaffold_146-	K00003	278.03	513.7	2.8e-150	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_DEJEEEHK
5457	*	TARA_SAMEA2619970_METAG-scaffold_10406-	K00003	278.03	481.6	1.5e-140	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_GLICNMBG
5458	*	TARA_SAMEA2619970_METAG-scaffold_2094-	K00003	278.03	505.6	8e-148	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_KLAFEPAG
5459	*	TARA_SAMEA2619970_METAG-scaffold_358-	K00003	278.03	531.7	1e-155	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_CLFMKPOM
5460	*	TARA_SAMEA2619970_METAG-scaffold_4546-	K00003	278.03	509	7.8e-149	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_JMLBCFLD
5461	*	TARA_SAMEA2619970_METAG-scaffold_428-	K00003	278.03	529.3	5.4e-155	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_FLMOKPJM
5462	*	TARA_SAMEA2619970_METAG-scaffold_43-	K00003	278.03	318.6	3.1e-91	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_OKEINIMP
5463	*	TARA_SAMEA2619970_METAG-scaffold_6057-	K00003	278.03	418.6	1.7e-121	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_HLOJIBLI
5464	*	TARA_SAMEA2619970_METAG-scaffold_62-	K00003	278.03	550.8	1.8e-161	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_OPOMKGEC
5465	*	TARA_SAMEA2619970_METAG-scaffold_465-	K00003	278.03	489.1	7.9e-143	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_CLAEKLCO
5466	*	TARA_SAMEA2619970_METAG-scaffold_5231-	K00003	278.03	510.1	3.6e-149	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_HACPOPOD
5467	*	TARA_SAMEA2619970_METAG-scaffold_719-	K00003	278.03	394.6	3.2e-114	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_OIODHENM
5468	*	TARA_SAMEA2619970_METAG-scaffold_8628-	K00003	278.03	477	3.6e-139	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_OKNGJBFH
5469	*	TARA_SAMEA2619970_METAG-scaffold_245-	K00003	278.03	527	2.7e-154	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_NIJBPAAN
5470	*	TARA_SAMEA2619970_METAG-scaffold_387-	K00003	278.03	384.2	4.5e-111	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_ILIJLLHM
5471	*	TARA_SAMEA2619970_METAG-scaffold_6873-	K00003	278.03	284.1	8.1e-81	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_FKMCDENO
5472	*	TARA_SAMEA2619970_METAG-scaffold_60975-	K00003	278.03	524.2	1.9e-153	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_PCHCNKFO
5473	*	TARA_SAMEA2619970_METAG-scaffold_8014-	K00003	278.03	483.9	3e-141	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_JBFPHNOD
5474	*	TARA_SAMEA2619970_METAG-scaffold_286-	K00003	278.03	473.5	4.1e-138	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_EABBDANJ
5475	*	TARA_SAMEA2619970_METAG-scaffold_7865-	K00003	278.03	376.7	8.1e-109	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_DIFNHGDL
5476	*	TARA_SAMEA2619970_METAG-scaffold_61-	K00003	278.03	510.4	2.9e-149	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_CKKFJICA
5477	*	TARA_SAMEA2619970_METAG-scaffold_5055-	K00003	278.03	380.2	7.1e-110	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_OAMDOEKP
5478	*	TARA_SAMEA2619970_METAG-scaffold_3527-	K00003	278.03	518.5	1e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_GPPOLLDG
5479	*	TARA_SAMEA2619970_METAG-scaffold_1544-	K00003	278.03	517.3	2.4e-151	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2619970_METAG_IKNEEGGJ
