"","Step1:K01740","Step1:met17_align","Step2:K17285"
"TARA_SAMEA4397409_METAG_PFLMDAOC",0,1,0
"BATS_SAMN07137099_METAG_MFELMAGD",0,0,0
"TARA_SAMEA2622764_METAG_AMGFCHMA",1,1,0
"TARA_SAMEA2622764_METAG_CINNBONL",0,0,1
"BATS_SAMN07137099_METAG_IHANMKPP",0,0,0
"TARA_SAMEA2622764_METAG_LKDHNOPO",1,1,0
"TARA_SAMEA2622764_METAG_LNMMEEIH",1,1,0
"TARA_SAMEA2622764_METAG_MGMMCFDP",1,1,0
"TARA_SAMEA2622764_METAG_JFJHPJGE",0,0,0
"TARA_SAMEA2622737_METAG_HMPONALC",0,0,0
"TARA_SAMEA2622737_METAG_ILOBPGPP",1,1,0
"TARA_SAMEA2622737_METAG_PGJCDJAM",1,1,0
"TARA_SAMEA2622737_METAG_DCIGKCNG",1,1,0
"TARA_SAMEA2622737_METAG_IDAHLIGD",0,0,0
"TARA_SAMEA2622737_METAG_EKEDBMAB",1,1,0
"TARA_SAMEA2622737_METAG_AJHOMIFH",0,1,0
"TARA_SAMEA2622737_METAG_IKOJBGDF",0,0,0
"TARA_SAMEA2622737_METAG_AJMFAIPI",0,1,0
"TARA_SAMEA2622737_METAG_OIBLHIII",0,0,0
"TARA_SAMEA2622737_METAG_BHBAKILJ",0,1,0
"TARA_SAMEA2622737_METAG_FELHNLIL",0,0,1
"TARA_SAMEA2622737_METAG_KFPGAMIC",1,1,0
"TARA_SAMEA2622737_METAG_BDNDDJPN",1,1,0
"TARA_SAMEA2622737_METAG_EFODFHBB",1,1,0
"TARA_SAMEA2622737_METAG_BCBPKBNG",1,1,0
"TARA_SAMEA2622737_METAG_EACCIMDA",0,0,0
"TARA_SAMEA2622737_METAG_AMIDIFHB",0,0,0
"TARA_SAMEA2622737_METAG_CFNMCAOD",0,0,0
"TARA_SAMEA2622737_METAG_LEGMAKBJ",0,0,0
"TARA_SAMEA4397627_METAG_FONBEJPD",1,1,0
"TARA_SAMEA4397627_METAG_NMOAHGGM",1,1,0
"TARA_SAMEA4397627_METAG_CHEGMPDC",1,1,0
"TARA_SAMEA4397627_METAG_NKPKFEFG",1,1,0
"TARA_SAMEA4397627_METAG_APIAHANE",0,1,0
"TARA_SAMEA4397627_METAG_KDFFDGCJ",1,1,0
"TARA_SAMEA4397627_METAG_FHCHCONO",1,1,0
"TARA_SAMEA4397627_METAG_CONFBDMO",1,1,0
"TARA_SAMEA4397627_METAG_IBFNBBCO",0,0,0
"TARA_SAMEA2621448_METAG_JOKDGAFH",1,1,0
"TARA_SAMEA2621448_METAG_LBNAEFAD",1,1,0
"TARA_SAMEA2620879_METAG_BJBHMMNC",0,1,0
"TARA_SAMEA4396515_METAG_JIOPPDNB",1,1,0
"TARA_SAMEA4396515_METAG_CBMPIHOF",1,1,0
"TARA_SAMEA4396515_METAG_EMMMMBGC",0,1,0
"TARA_SAMEA4396515_METAG_CPEOFBEG",0,1,0
"TARA_SAMEA4396515_METAG_CALDDGBB",1,1,0
"TARA_SAMEA4396515_METAG_MMDMILPK",1,1,0
"TARA_SAMEA4396515_METAG_IAGAEAJH",1,1,0
"TARA_SAMEA4396515_METAG_AAFKMMHC",1,1,0
"TARA_SAMEA4396515_METAG_JKHPJBGG",1,1,0
"TARA_SAMEA4396515_METAG_FELBDCME",0,1,0
"TARA_SAMEA2619815_METAG_CJODOHLH",1,1,1
"TARA_SAMEA2619815_METAG_ELAPPNAF",1,1,0
"TARA_SAMEA2619815_METAG_CFAFOEAL",0,1,0
"TARA_SAMEA2619815_METAG_NEOKCIMN",1,1,0
"TARA_SAMEA2619815_METAG_JLNMKLIP",0,1,0
"TARA_SAMEA2619815_METAG_MBLFNBKD",1,1,0
"TARA_SAMEA2619815_METAG_HGFOBMKO",1,1,0
"TARA_SAMEA2619815_METAG_KJEPBPMI",1,1,0
"TARA_SAMEA2619815_METAG_PDCKOFMB",1,1,0
"TARA_SAMEA2623403_METAG_CDIGICJF",0,1,0
"TARA_SAMEA2623403_METAG_JHGMACDG",0,1,0
"TARA_SAMEA2623403_METAG_OGAKCIIK",1,1,0
"TARA_SAMEA4398111_METAG_MPNOCJLE",0,1,0
"TARA_SAMEA4398111_METAG_MMEKPHGA",1,1,0
"TARA_SAMEA4398111_METAG_PFEAKHKP",1,1,0
"TARA_SAMEA4398111_METAG_FDJFKBJE",1,1,0
"TARA_SAMEA4398111_METAG_AIGOJDIC",1,1,0
"TARA_SAMEA4398193_METAG_IAALMADH",1,1,0
"TARA_SAMEA4398193_METAG_MIKMPDMK",1,1,0
"TARA_SAMEA4398193_METAG_EFHHECBF",1,1,0
"TARA_SAMEA4398193_METAG_LFJHILAI",1,1,0
"TARA_SAMEA4398193_METAG_HBLJAOMP",0,1,0
"TARA_SAMEA4398193_METAG_MGOCMFMA",1,1,0
"TARA_SAMEA4398193_METAG_GFCADMKI",0,1,0
"TARA_SAMEA4398193_METAG_FNJJBEFB",1,1,0
"TARA_SAMEA4398193_METAG_LPGEEHAG",1,1,0
"TARA_SAMEA2620273_METAG_LMLOEFFO",0,1,0
"TARA_SAMEA2620273_METAG_FCKFCDHO",1,1,0
"TARA_SAMEA2622763_METAG_MBGICCKG",1,1,0
"TARA_SAMEA2622763_METAG_BCJCDBND",0,1,0
"TARA_SAMEA2620979_METAG_DOLLACGP",1,1,0
"TARA_SAMEA2620979_METAG_JAHMFKHJ",1,1,1
"TARA_SAMEA2620979_METAG_FMNABCFE",1,1,0
"TARA_SAMEA2620824_METAG_INDLOIJF",1,1,0
"TARA_SAMEA2620824_METAG_MLADONCJ",1,1,0
"TARA_SAMEA2620824_METAG_BGPMLLNK",0,1,0
"TARA_SAMEA2620824_METAG_OIBOIICC",1,1,0
"TARA_SAMEA2620824_METAG_DCGEFAII",0,1,0
"TARA_SAMEA2620824_METAG_DOHFNEHC",0,1,0
"TARA_SAMEA2620663_METAG_CBDKPAKP",1,1,0
"TARA_SAMEA2620663_METAG_DLHFCAOB",0,1,0
"TARA_SAMEA4398083_METAG_JCNJBGOD",0,1,0
"TARA_SAMEA4398083_METAG_ELMJCLFK",1,1,0
"TARA_SAMEA4398083_METAG_HBMDFPOB",0,1,0
"TARA_SAMEA4398083_METAG_CKBAMJBP",0,1,0
"TARA_SAMEA4398083_METAG_NDBOMJMD",1,1,0
"TARA_SAMEA4398083_METAG_BIIPAILN",1,1,0
"TARA_SAMEA4398083_METAG_CEGFKLDH",1,1,0
"TARA_SAMEA4398083_METAG_OPHHFIAP",1,1,0
"TARA_SAMEA4398083_METAG_CCLFFBFL",0,1,0
"TARA_SAMEA4398083_METAG_CEBKBNIN",1,1,0
"TARA_SAMEA4398027_METAG_JLMFDEIL",0,1,0
"TARA_SAMEA4398027_METAG_ILPFCCJH",0,1,0
"TARA_SAMEA4398027_METAG_MJHOLLPK",0,1,0
"TARA_SAMEA4398027_METAG_NKGNPJGK",0,1,0
"TARA_SAMEA4398027_METAG_JEIJCPEA",1,1,0
"TARA_SAMEA4398027_METAG_AMGAMONB",1,1,0
"TARA_SAMEA4398027_METAG_CDMGOKMD",1,1,0
"TARA_SAMEA2620210_METAG_CAOICEBG",0,1,0
"TARA_SAMEA2620210_METAG_MCNGNDHO",1,1,0
"TARA_SAMEA2622517_METAG_KHCNKOBA",0,0,0
"TARA_SAMEA2622517_METAG_LIJAFACK",0,1,0
"TARA_SAMEA2622517_METAG_CGHHLEJF",1,1,0
"TARA_SAMEA2621229_METAG_IKGOKMGN",1,1,0
"TARA_SAMEA2621229_METAG_CELDOJAG",1,1,0
"TARA_SAMEA2621229_METAG_EKLPGNDD",1,1,0
"TARA_SAMEA2621229_METAG_GLOJJILA",0,1,0
"TARA_SAMEA2621229_METAG_JAPGJOID",1,1,0
"TARA_SAMEA2621229_METAG_DFGJPMHO",1,1,0
"TARA_SAMEA2622190_METAG_EEOGAEOC",1,1,0
"TARA_SAMEA2621416_METAG_GGLIHNAM",0,0,0
"TARA_SAMEA2621416_METAG_LECBOGND",1,1,0
"TARA_SAMEA2621101_METAG_LDBGNOAK",1,1,0
"TARA_SAMEA2621101_METAG_PAAAMNAP",0,1,0
"BGEO_SAMN07136684_METAG_JMKLPPNG",0,0,0
"TARA_SAMEA2621101_METAG_JLODOFBL",1,1,0
"TARA_SAMEA2621101_METAG_HCGFDFOF",0,1,0
"TARA_SAMEA2621101_METAG_DBBGANBP",0,1,0
"TARA_SAMEA2621101_METAG_KNGHAIDE",1,1,0
"TARA_SAMEA2621101_METAG_DBKIAPDD",1,1,0
"TARA_SAMEA2621101_METAG_GDOPDBGF",1,1,0
"TARA_SAMEA2620925_METAG_LJBBMNFI",1,1,0
"TARA_SAMEA2620925_METAG_MBELEPLF",0,1,0
"TARA_SAMEA2621213_METAG_MNDFBMIL",1,1,0
"TARA_SAMEA2621213_METAG_DIBPDECH",0,1,0
"TARA_SAMEA4398238_METAG_OFMEDCFK",0,1,0
"TARA_SAMEA4398238_METAG_HBDEBACF",1,1,0
"TARA_SAMEA4398238_METAG_OPPJKEEM",1,1,0
"TARA_SAMEA4398238_METAG_IHHCIKGJ",1,1,0
"TARA_SAMEA4398238_METAG_POENMLMO",1,1,0
"TARA_SAMEA4398238_METAG_DOCAKBJO",1,1,0
"TARA_SAMEA4398238_METAG_AANIECHH",1,1,0
"TARA_SAMEA4398238_METAG_NGFDEPJG",1,1,0
"TARA_SAMEA4398238_METAG_DAIOHPNF",0,1,0
"TARA_SAMEA4398238_METAG_CLIBKFHJ",1,1,0
"TARA_SAMEA4398238_METAG_PJCPDIJE",1,1,0
"TARA_SAMEA4398238_METAG_FIEELHND",0,1,0
"TARA_SAMEA4398238_METAG_KLNLNPPG",1,1,0
"TARA_SAMEA4398238_METAG_HFOMIPPP",1,1,0
"TARA_SAMEA4398238_METAG_MBGMDCJJ",0,1,0
"TARA_SAMEA4398238_METAG_HOCBHCFI",1,1,0
"TARA_SAMEA4398238_METAG_DBJJADNG",1,1,0
"TARA_SAMEA2622842_METAG_ALIHAAFN",1,1,0
"TARA_SAMEA2622842_METAG_MNHPHNGA",1,1,0
"TARA_SAMEA2622842_METAG_EGCBGFJD",0,0,1
"BGEO_SAMN07136684_METAG_KKPAALAF",0,0,0
"HOTS_SAMN07137049_METAG_MIGPGMPE",0,0,0
"TARA_SAMEA2622842_METAG_ONDKBCLL",1,1,0
"HOTS_SAMN07137049_METAG_PDCOAHPE",0,0,0
"TARA_SAMEA2622842_METAG_PJMBINOF",1,1,0
"TARA_SAMEA2622842_METAG_CEIMLIGM",0,1,0
"HOTS_SAMN07137049_METAG_DBLBGCAP",0,0,0
"TARA_SAMEA4398168_METAG_OIOGIDIK",1,1,0
"TARA_SAMEA4398168_METAG_PHBHNCGF",0,1,0
"TARA_SAMEA4398168_METAG_DODMBAML",1,1,0
"TARA_SAMEA4398168_METAG_OPEEPNND",1,1,0
"TARA_SAMEA4398168_METAG_BDGOMGLD",1,1,0
"TARA_SAMEA4397023_METAG_GLDFBNMM",1,1,0
"TARA_SAMEA4397023_METAG_CCMDBIHC",0,1,0
"TARA_SAMEA4397023_METAG_JNDKBMGL",1,1,0
"TARA_SAMEA4397023_METAG_MHNLOFIM",1,1,0
"TARA_SAMEA4397023_METAG_JMLMGMFO",1,1,0
"TARA_SAMEA4397023_METAG_PBJBIJPO",0,1,0
"TARA_SAMEA4397023_METAG_GPECFDNG",1,1,0
"TARA_SAMEA4397023_METAG_LGJPGPEI",0,1,0
"TARA_SAMEA4397023_METAG_KBEOKKEB",1,1,0
"TARA_SAMEA4397023_METAG_NDHILBID",0,1,0
"TARA_SAMEA4397023_METAG_JDGBAHFI",0,1,0
"TARA_SAMEA4397023_METAG_FMECILJE",1,1,0
"TARA_SAMEA4397023_METAG_AFBHLJIF",0,1,0
"TARA_SAMEA4397023_METAG_DIBNNHNI",1,1,0
"TARA_SAMEA2619992_METAG_KHMNBCLB",1,1,0
"TARA_SAMEA2619992_METAG_NHNKBEME",0,1,0
"TARA_SAMEA2619992_METAG_DKKFMLDK",1,1,0
"TARA_SAMEA2619992_METAG_KPKFDKFI",0,1,0
"TARA_SAMEA2619992_METAG_OLPJMKGD",1,1,0
"TARA_SAMEA2619992_METAG_IINPIAHN",0,1,0
"TARA_SAMEA2619992_METAG_PAMHGFED",1,1,0
"TARA_SAMEA2619992_METAG_CKGPJGGA",1,1,0
"TARA_SAMEA2623365_METAG_HKHPJNAF",1,1,0
"TARA_SAMEA2622821_METAG_DGNNOPLM",1,1,0
"TARA_SAMEA2622800_METAG_KMKDGNAE",1,1,0
"TARA_SAMEA2622800_METAG_LIMMEGDN",0,0,1
"TARA_SAMEA2622800_METAG_JKAFBKIM",1,1,0
"TARA_SAMEA2622800_METAG_HOJFJLPM",1,1,0
"TARA_SAMEA2622800_METAG_OPGDIPJB",1,1,0
"BGEO_SAMN07136920_METAG_OHJEBCAB",0,0,0
"TARA_SAMEA2622800_METAG_IADCNICB",1,1,0
"TARA_SAMEA2622800_METAG_CDGNKHIK",1,1,0
"TARA_SAMEA2622800_METAG_NMGPABNB",0,0,0
"TARA_SAMEA2622800_METAG_KAPHGDNB",1,1,0
"TARA_SAMEA2622800_METAG_FBNOBNIJ",1,1,0
"TARA_SAMEA2622800_METAG_DBPNNPMC",0,1,0
"TARA_SAMEA2622800_METAG_FBKMDHGF",1,1,0
"TARA_SAMEA2622800_METAG_DNHGDFOF",1,1,0
"TARA_SAMEA4398387_METAG_LOMEEOPN",0,1,0
"TARA_SAMEA4398387_METAG_AMMOLEFM",1,1,0
"TARA_SAMEA4398387_METAG_KCILKBNG",1,1,0
"TARA_SAMEA4398387_METAG_NFDCPGPE",1,1,0
"TARA_SAMEA4398387_METAG_NJONMNKJ",1,1,0
"TARA_SAMEA4398387_METAG_LCLCPECB",0,1,0
"TARA_SAMEA4398387_METAG_NPBMPJLK",1,1,0
"TARA_SAMEA4398387_METAG_BKMMCLDG",1,1,0
"TARA_SAMEA4398387_METAG_HCDDAEFP",0,1,0
"TARA_SAMEA4398387_METAG_OJJFGHIJ",1,1,0
"TARA_SAMEA4398387_METAG_DNFJJMPC",0,1,0
"TARA_SAMEA2621278_METAG_JCNLAAAD",0,1,0
"BGEO_SAMN07136920_METAG_BENPMCHC",0,0,0
"TARA_SAMEA2621278_METAG_CEJOLOBL",1,1,0
"BGEO_SAMN07136725_METAG_EIALBBCA",0,0,0
"BGEO_SAMN07136578_METAG_JHAPMOJC",0,0,0
"BGEO_SAMN07136611_METAG_HBFGCLPC",0,0,0
"TARA_SAMEA2622677_METAG_JBANDMDG",1,1,0
"TARA_SAMEA2622677_METAG_MKIIANFE",1,1,0
"TARA_SAMEA2622677_METAG_IMPFMIFA",0,1,0
"TARA_SAMEA4397536_METAG_GKHJOLJD",1,1,0
"TARA_SAMEA4397536_METAG_HCFPJKEN",1,1,0
"TARA_SAMEA4397536_METAG_LCONMONN",0,1,0
"TARA_SAMEA4397536_METAG_OBKDKGJD",1,1,0
"TARA_SAMEA4397536_METAG_FKGEPLBK",1,1,0
"TARA_SAMEA4397536_METAG_FOGMADCE",1,1,0
"TARA_SAMEA4397536_METAG_NBLJNKLH",0,1,0
"TARA_SAMEA4397536_METAG_PCCNEDNO",1,1,0
"TARA_SAMEA4397536_METAG_EOIKDEPL",0,1,0
"TARA_SAMEA4397536_METAG_OJFGJHGG",1,1,0
"TARA_SAMEA2621020_METAG_INGKNBFK",1,1,0
"BGEO_SAMN07136545_METAG_CJPJMPDN",0,0,0
"BGEO_SAMN07136545_METAG_LMBKCMFA",0,0,0
"BGEO_SAMN07136497_METAG_MMHFEPLI",0,0,0
"TARA_SAMEA2621020_METAG_MHHEBMHH",1,1,0
"TARA_SAMEA2620980_METAG_MJLOIEHF",1,1,0
"TARA_SAMEA2620980_METAG_EDCALDMI",0,1,1
"TARA_SAMEA2620980_METAG_HNOBGMKE",0,1,0
"TARA_SAMEA2620980_METAG_MPIMLMPG",0,1,0
"TARA_SAMEA2620980_METAG_AAAGDLCL",0,1,0
"TARA_SAMEA2620980_METAG_LINNCFCJ",0,1,0
"TARA_SAMEA2620980_METAG_CCACEBGA",0,1,0
"TARA_SAMEA2620980_METAG_AEIJOMGK",0,1,1
"TARA_SAMEA2620980_METAG_HOANNCOF",1,1,0
"TARA_SAMEA2620980_METAG_BGNCFMEK",0,1,0
"TARA_SAMEA2620980_METAG_JMCLKDMH",0,1,0
"TARA_SAMEA4397051_METAG_JLPOLJIE",1,1,0
"TARA_SAMEA4397051_METAG_ANCHFCML",1,1,0
"TARA_SAMEA4397051_METAG_NGFOBDPO",1,1,0
"TARA_SAMEA4397051_METAG_NGAHLNDD",1,1,0
"TARA_SAMEA4397051_METAG_FIBEOKIO",0,1,0
"TARA_SAMEA2619686_METAG_CMNHBAMB",1,1,0
"TARA_SAMEA2620120_METAG_IEFDOLPF",0,1,0
"TARA_SAMEA2620120_METAG_CGJKEMNL",1,1,0
"TARA_SAMEA2620812_METAG_KNOGCAEM",1,1,0
"TARA_SAMEA2620812_METAG_EFDCLNHE",1,1,0
"TARA_SAMEA2620812_METAG_OCKBLNHO",1,1,0
"TARA_SAMEA2620668_METAG_KEPDIEPN",1,1,0
"TARA_SAMEA2620668_METAG_PGBEKOPK",1,1,0
"TARA_SAMEA2621076_METAG_BNBKGHEH",1,1,0
"TARA_SAMEA2621076_METAG_JNJEMPMD",0,1,0
"TARA_SAMEA2621076_METAG_KBKFGPDA",1,1,0
"BGEO_SAMN07136497_METAG_MJBPPKPJ",0,0,0
"TARA_SAMEA2621076_METAG_DLGKCMFP",0,0,0
"TARA_SAMEA2621076_METAG_BIIDFLBF",0,1,0
"TARA_SAMEA2621076_METAG_JOEGDBGE",0,1,0
"BGEO_SAMN07136487_METAG_BGAGCLIG",0,0,0
"BGEO_SAMN07136634_METAG_MMHEHOEK",0,0,0
"TARA_SAMEA2621076_METAG_COHLLPJP",1,1,0
"TARA_SAMEA2621076_METAG_MNDPJGIK",1,1,0
"BGEO_SAMN07136916_METAG_LGAFCPBI",0,0,0
"BGEO_SAMN07136718_METAG_BHGCDOKE",0,0,0
"TARA_SAMEA2621076_METAG_AOGEAJJC",1,1,0
"TARA_SAMEA2621076_METAG_PGLLOIOI",1,1,0
"TARA_SAMEA2622765_METAG_LCCLODIH",1,1,0
"TARA_SAMEA2622765_METAG_FAIAKOPL",0,1,0
"HOTS_SAMN07137040_METAG_AMPNOPOG",0,0,0
"TARA_SAMEA2622765_METAG_HMPDLOBI",1,1,0
"TARA_SAMEA2622765_METAG_NFCKBNNJ",1,1,0
"HOTS_SAMN07137002_METAG_CMFOGHDE",0,0,0
"TARA_SAMEA2622765_METAG_NGENPLNF",1,1,0
"TARA_SAMEA2622765_METAG_EHINJCLL",1,1,0
"TARA_SAMEA2622765_METAG_BGGOCBHK",1,1,0
"TARA_SAMEA2622765_METAG_JCDEOOFJ",0,1,0
"TARA_SAMEA2622765_METAG_ICPMIAHH",1,1,0
"TARA_SAMEA2622765_METAG_FFFMFKFB",0,1,0
"TARA_SAMEA2622765_METAG_AMBCKBGD",0,1,0
"TARA_SAMEA2622765_METAG_KBIKNAHF",1,1,0
"TARA_SAMEA2622765_METAG_CJGICPDO",1,1,0
"TARA_SAMEA2622765_METAG_APECFLEB",1,1,0
"TARA_SAMEA2622765_METAG_FJODJKHI",0,1,0
"TARA_SAMEA2622765_METAG_PPIJLLCG",0,1,0
"TARA_SAMEA4397948_METAG_BHOFMDIO",0,1,0
"TARA_SAMEA4397948_METAG_HNKNKJNA",0,1,0
"TARA_SAMEA4397948_METAG_HMKPJJLE",1,1,0
"TARA_SAMEA4397948_METAG_PDPLCFOH",0,1,0
"TARA_SAMEA4397948_METAG_FGCGCIDG",1,1,0
"TARA_SAMEA4397948_METAG_ILHBOAHJ",0,1,0
"TARA_SAMEA4397948_METAG_GPKHPDLL",1,1,0
"TARA_SAMEA4397948_METAG_DFEGPOHM",1,1,0
"TARA_SAMEA2621099_METAG_EOBNILOH",1,1,0
"TARA_SAMEA2621099_METAG_FOEELOBE",1,1,0
"TARA_SAMEA2621099_METAG_IDGDEHDE",1,1,0
"TARA_SAMEA2621099_METAG_ICDFPMBL",0,1,0
"TARA_SAMEA2621099_METAG_JGJJBOJN",0,1,0
"TARA_SAMEA2621099_METAG_GKKBIMAB",1,1,0
"TARA_SAMEA2621099_METAG_DPONELJG",1,1,0
"TARA_SAMEA2621099_METAG_GDBPEBAN",1,1,0
"TARA_SAMEA2622822_METAG_IEDPHKED",0,0,0
"TARA_SAMEA2622822_METAG_FBKAPPAL",0,1,0
"TARA_SAMEA2622822_METAG_GEGJOINE",1,1,0
"TARA_SAMEA2622822_METAG_EAEGHBML",0,0,0
"TARA_SAMEA2622822_METAG_PAAJAMGK",0,0,0
"TARA_SAMEA2622822_METAG_IOKJGEPL",0,0,0
"TARA_SAMEA2622822_METAG_OGCALNKE",1,1,0
"TARA_SAMEA2622822_METAG_FCDKAAOK",0,0,0
"TARA_SAMEA2622822_METAG_PBPIFDED",1,1,0
"TARA_SAMEA2622822_METAG_POOGECDP",1,1,0
"TARA_SAMEA2622822_METAG_KOFAGHDC",0,0,0
"TARA_SAMEA2622822_METAG_JBFKGFBC",1,1,0
"TARA_SAMEA2622822_METAG_BJNBAMOE",1,1,0
"TARA_SAMEA2621260_METAG_DLGLLJNO",0,1,0
"TARA_SAMEA2621260_METAG_APAAJPOP",0,1,0
"TARA_SAMEA2621260_METAG_ECGPAFED",0,1,0
"TARA_SAMEA2621260_METAG_NAHMNHLM",1,1,0
"TARA_SAMEA2621260_METAG_PLACCIAA",0,1,0
"TARA_SAMEA2621260_METAG_FLGCPKBD",1,1,0
"TARA_SAMEA2621260_METAG_BPJLPINF",0,1,0
"BGEO_SAMN07136594_METAG_NJHGMLOE",0,0,0
"BATS_SAMN07137120_METAG_AONBANAL",0,0,0
"BATS_SAMN07137120_METAG_OHJLBLHN",0,0,0
"TARA_SAMEA2619974_METAG_MNBJOKGJ",1,1,0
"TARA_SAMEA2619974_METAG_JDCMNLMI",0,1,0
"BGEO_SAMN07136708_METAG_BPBGDOMC",0,0,0
"TARA_SAMEA2619974_METAG_CPINLNGP",1,1,0
"TARA_SAMEA2619974_METAG_AGJAEMFM",1,1,0
"TARA_SAMEA2622685_METAG_OOOBKKHN",0,1,0
"TARA_SAMEA2622685_METAG_IGJPOKGJ",1,1,0
"TARA_SAMEA2622685_METAG_CDHGMNHM",1,1,0
"TARA_SAMEA2622685_METAG_PAMPHHNN",1,1,0
"TARA_SAMEA2622685_METAG_PHDEJLHA",1,1,0
"TARA_SAMEA2622685_METAG_CEEAIMNL",0,0,0
"TARA_SAMEA2622685_METAG_IHHAFFKB",1,1,0
"TARA_SAMEA2622685_METAG_DHEDEDJH",1,1,0
"TARA_SAMEA2622357_METAG_MMNPPCIF",1,1,0
"TARA_SAMEA4398360_METAG_JGBHMFAO",1,1,0
"TARA_SAMEA4398360_METAG_HKMLNLDB",1,1,0
"TARA_SAMEA4398360_METAG_CIINEJAO",1,1,0
"TARA_SAMEA4398360_METAG_DGILFIFL",1,1,0
"TARA_SAMEA4398360_METAG_OCAJHHDC",0,1,0
"TARA_SAMEA4398360_METAG_EFLGEJOO",1,1,0
"TARA_SAMEA2621548_METAG_AMKGDFGN",0,1,0
"TARA_SAMEA4398266_METAG_LFJMEBEB",1,1,0
"TARA_SAMEA4398266_METAG_LNKEIMGA",0,1,0
"TARA_SAMEA4398266_METAG_PFLCKFIJ",0,1,0
"TARA_SAMEA4398266_METAG_OPOOAJHK",1,1,0
"TARA_SAMEA4398266_METAG_OFACBGEH",1,1,0
"TARA_SAMEA4398266_METAG_AFIADNAJ",1,1,0
"TARA_SAMEA4398266_METAG_JGJJDPDB",1,1,0
"TARA_SAMEA4398266_METAG_MCJILGBD",0,1,0
"TARA_SAMEA2620565_METAG_CLFIELCF",0,1,0
"TARA_SAMEA2622738_METAG_PMOIGPEK",0,0,0
"TARA_SAMEA2622738_METAG_FGJJNLBN",1,1,0
"TARA_SAMEA2622738_METAG_NDPOKKKM",1,1,0
"TARA_SAMEA2622656_METAG_JDDFFOHG",1,1,0
"TARA_SAMEA2622656_METAG_PGMAIMID",1,1,0
"TARA_SAMEA4398432_METAG_OOLFFBHM",1,1,0
"TARA_SAMEA4398432_METAG_CCPEHPMD",1,1,0
"TARA_SAMEA4398432_METAG_CDCIKFNO",1,1,0
"TARA_SAMEA4398432_METAG_CHANNJNG",0,1,0
"TARA_SAMEA4398432_METAG_GMCKOCBG",1,1,0
"TARA_SAMEA4398432_METAG_OCDDDPAL",1,1,0
"TARA_SAMEA4398432_METAG_EMPCMMMC",1,1,0
"TARA_SAMEA4398432_METAG_ODLHCCGB",0,1,0
"TARA_SAMEA4398432_METAG_MAJECHIN",1,1,0
"TARA_SAMEA4398432_METAG_PEPLFBGI",1,1,0
"TARA_SAMEA4398432_METAG_LFMIHGII",1,1,0
"TARA_SAMEA4398432_METAG_HFPIEIKF",0,1,0
"TARA_SAMEA4398432_METAG_GEHJDHAP",1,1,0
"TARA_SAMEA2621222_METAG_LHBCNJKN",0,1,0
"BGEO_SAMN07136708_METAG_CLBAHLBG",0,0,0
"TARA_SAMEA2621222_METAG_ICAHACJH",0,1,0
"TARA_SAMEA2621222_METAG_JEMGHBAI",1,1,0
"TARA_SAMEA4397330_METAG_NDOPFAKP",1,1,0
"TARA_SAMEA4397330_METAG_OLIDLLGF",0,1,0
"TARA_SAMEA4397330_METAG_CMMDNHLL",0,1,0
"TARA_SAMEA4397330_METAG_GDNAMFBO",1,1,0
"TARA_SAMEA4397330_METAG_PICKGHED",1,1,0
"TARA_SAMEA4397330_METAG_JPCJHKEM",0,1,0
"TARA_SAMEA4397330_METAG_MFIBPPLM",1,1,0
"TARA_SAMEA4397330_METAG_EKBCNCBM",1,1,0
"TARA_SAMEA4397330_METAG_OJBILPGE",1,1,0
"TARA_SAMEA4397330_METAG_GDIMMCKF",1,1,0
"TARA_SAMEA4397330_METAG_FMJAGJHH",1,1,0
"TARA_SAMEA4397586_METAG_JNJCPFPA",1,1,0
"TARA_SAMEA4397586_METAG_JLBLNLFE",1,1,0
"TARA_SAMEA4397586_METAG_LIEPFDCA",0,1,0
"TARA_SAMEA4397586_METAG_JFDIJEAL",1,1,0
"TARA_SAMEA4397586_METAG_MJKFHMCN",1,1,0
"TARA_SAMEA4397586_METAG_EJLCCENL",0,1,0
"TARA_SAMEA4397586_METAG_NDJLCAJM",0,1,0
"TARA_SAMEA4397586_METAG_BHHPEABG",1,1,0
"TARA_SAMEA4397586_METAG_OODDJMJE",1,1,0
"TARA_SAMEA4397586_METAG_GDDDCAFJ",1,1,0
"TARA_SAMEA4397586_METAG_DHHFIEKM",1,1,0
"TARA_SAMEA4397586_METAG_CMLKACDB",0,1,0
"TARA_SAMEA4397586_METAG_KGACBEKC",1,1,0
"TARA_SAMEA2621564_METAG_ECEHCOPB",1,1,0
"TARA_SAMEA2622696_METAG_FIJBGNGP",1,1,0
"BGEO_SAMN07136708_METAG_KCNEHDCC",0,0,0
"TARA_SAMEA2622696_METAG_PKOCKKHJ",0,0,0
"HOTS_SAMN07137044_METAG_CGCNJBJJ",0,0,0
"TARA_SAMEA2622696_METAG_BCBJAGLF",1,1,1
"TARA_SAMEA2622696_METAG_IAJJDIPA",1,1,0
"TARA_SAMEA2622696_METAG_NKHGOJCL",1,1,0
"BGEO_SAMN07136755_METAG_CHLFFCMM",0,0,0
"BGEO_SAMN07136755_METAG_OBFHLEJI",0,0,0
"TARA_SAMEA2622696_METAG_ELPLNHDN",0,0,0
"TARA_SAMEA2620256_METAG_IBGDEJEF",1,1,0
"TARA_SAMEA2620256_METAG_LDKALNNO",1,1,0
