,Step1,Step2,Step3,Subpathway1,Subpathway2,MaxCompletion,Group,Completion,Type
TARA_SAMEA2622801_METAG_JEALBMGB,0,0,0,0,0,0,Alpha-Other,97.32,MAG
TARA_SAMEA2622801_METAG_FBHCFNJI,0,0,0,0,0,0,Gamma-Other,98.39,MAG
TARA_SAMEA2622801_METAG_INILGBIK,0,0,0,0,0,0,Gamma-Other,80.26,MAG
TARA_SAMEA2622801_METAG_PIDHMMGD,0,0,0,0,0,0,Alpha-Other,97.78,MAG
TARA_SAMEA2622801_METAG_OFCBHAIC,0,0,0,0,0,0,Gamma-Other,98.14,MAG
TARA_SAMEA2622801_METAG_IMPHJOHN,0,0,0,0,0,0,Gamma-Other,86.62,MAG
TARA_SAMEA4397215_METAG_KLMFFEGC,0,0,0,0,0,0,Gamma-Other,98.52,MAG
TARA_SAMEA4397215_METAG_JMCLIOKD,1,1,0,1,0,1,Alpha-Rhodobacter,93.33,MAG
TARA_SAMEA4397215_METAG_NPBIIPCA,0,0,0,0,0,0,Gamma-Other,98.28,MAG
TARA_SAMEA4397215_METAG_IGAOMPDF,0,0,0,0,0,0,Bacteroidota,98.56,MAG
TARA_SAMEA4397215_METAG_CJAEGIAG,0,0,1,0,1,1,Alpha-Other,89.5,MAG
TARA_SAMEA4397215_METAG_DPBONLII,0,0,0,0,0,0,Gamma-Other,98.08,MAG
TARA_SAMEA2622799_METAG_BMAADKHL,0,0,0,0,0,0,Cyano-Syn,85.82,MAG
TARA_SAMEA2622678_METAG_LCCFEJME,0,0,0,0,0,0,Gamma-Other,99.12,MAG
TARA_SAMEA2622678_METAG_DFADELFD,1,0,0,0.5,0,0.5,Actinobacteriota,90.11,MAG
TARA_SAMEA2622142_METAG_DOMGPOGD,0,0,0,0,0,0,Gamma-Other,79.43,MAG
TARA_SAMEA2621247_METAG_ACCPMPPG,0,0,1,0,1,1,Alpha-Other,99.53,MAG
TARA_SAMEA2621247_METAG_IMMEPKJM,0,0,0,0,0,0,Gamma-Other,92.65,MAG
TARA_SAMEA2621247_METAG_NPJDFJGK,0,0,0,0,0,0,Alpha-Other,99.24,MAG
TARA_SAMEA2621247_METAG_HJKOCAEK,1,1,0,1,0,1,Alpha-Rhodobacter,98.77,MAG
TARA_SAMEA2621247_METAG_BNMKABCC,0,0,0,0,0,0,Alpha-Other,92.9,MAG
TARA_SAMEA2621247_METAG_FOKJHEGI,0,0,0,0,0,0,Gamma-Other,80.05,MAG
TARA_SAMEA2621045_METAG_EJOHEGHD,0,0,0,0,0,0,Cyano-Syn,75.72,MAG
TARA_SAMEA2620035_METAG_EOHBKGBH,0,0,0,0,0,0,Chloroflexota,95.01,MAG
TARA_SAMEA2620035_METAG_HBFLEOAK,0,1,0,0.5,0,0.5,Gamma-Other,97.09,MAG
TARA_SAMEA2620035_METAG_KEIDOCPJ,0,0,0,0,0,0,Alpha-Other,94.88,MAG
TARA_SAMEA2622518_METAG_IPPBENAH,0,0,0,0,0,0,Planctomycetota,97.06,MAG
TARA_SAMEA2621198_METAG_NHKNDBOB,1,0,0,0.5,0,0.5,Actinobacteriota,93.13,MAG
TARA_SAMEA2622376_METAG_HEDHIPCE,0,0,0,0,0,0,Gamma-Other,91.8,MAG
TARA_SAMEA2622316_METAG_NMDBPDMN,0,0,0,0,0,0,Verrucomicrobiota,94.72,MAG
TARA_SAMEA2621278_METAG_BMGJHFGO,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,89.84,MAG
TARA_SAMEA2623907_METAG_KDOILCDM,0,0,0,0,0,0,Bacteroidota,92.71,MAG
TARA_SAMEA2623907_METAG_ECFMHMMB,0,0,0,0,0,0,Bacteroidota,94.46,MAG
TARA_SAMEA2623907_METAG_JBHOJJHF,0,0,0,0,0,0,Alpha-Rhodobacter,98.48,MAG
TARA_SAMEA2623907_METAG_JDNJOPDE,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,95.55,MAG
TARA_SAMEA2619907_METAG_BGFNPMII,0,1,1,0.5,1,1,Alpha-Other,96.88,MAG
TARA_SAMEA2619907_METAG_KEJNNEFL,0,0,0,0,0,0,Planctomycetota,94.06,MAG
TARA_SAMEA2619907_METAG_APLDGJCD,0,0,0,0,0,0,Cyano-Other,80.95,MAG
TARA_SAMEA2622733_METAG_BKAEPIEG,0,0,0,0,0,0,Bacteria-Other,97.18,MAG
TARA_SAMEA2622733_METAG_OMEBJIFN,0,1,0,0.5,0,0.5,Gamma-Other,92.34,MAG
TARA_SAMEA2622733_METAG_NBNMNLNB,1,0,0,0.5,0,0.5,Actinobacteriota,86.5,MAG
TARA_SAMEA2623513_METAG_NGIMBIGM,0,0,0,0,0,0,Bacteroidota,91.84,MAG
TARA_SAMEA2623513_METAG_JEHEGMBA,0,0,0,0,0,0,Gamma-Other,86.58,MAG
TARA_SAMEA2623513_METAG_LNEJMMOG,1,0,0,0.5,0,0.5,Actinobacteriota,82.3,MAG
TARA_SAMEA2591057_METAG_BLEHBCBO,0,0,0,0,0,0,Cyano-Other,83.36,MAG
TARA_SAMEA2621013_METAG_CBHFFEGP,0,0,0,0,0,0,Cyano-Syn,84.14,MAG
TARA_SAMEA2621013_METAG_HEDNGIGK,0,0,0,0,0,0,Cyano-Syn,85.37,MAG
TARA_SAMEA2591122_METAG_DKOENCIK,0,0,1,0,1,1,Alpha-Other,97.52,MAG
TARA_SAMEA2591122_METAG_CMIOHKHC,0,0,0,0,0,0,Gamma-Other,96.43,MAG
TARA_SAMEA2591122_METAG_HOFIGPPD,0,0,1,0,1,1,Alpha-Other,93.86,MAG
TARA_SAMEA2591122_METAG_HENEDIFH,0,0,0,0,0,0,Cyano-Syn,79.76,MAG
TARA_SAMEA2620666_METAG_JEPBBOGE,0,0,0,0,0,0,Bacteroidota,98.37,MAG
TARA_SAMEA2620666_METAG_BEHDOIIH,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,99.04,MAG
TARA_SAMEA2620666_METAG_LLDDNLDC,1,0,0,0.5,0,0.5,Actinobacteriota,76.38,MAG
TARA_SAMEA2621076_METAG_LJFJNBCF,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,85.1,MAG
TARA_SAMEA2619678_METAG_ANGHACOK,0,0,0,0,0,0,Alpha-Other,92.46,MAG
TARA_SAMEA2622568_METAG_BPIONGFC,0,0,0,0,0,0,Bacteroidota,98.37,MAG
TARA_SAMEA2622568_METAG_AABAHIOA,0,0,0,0,0,0,Bacteroidota,85.78,MAG
TARA_SAMEA2622568_METAG_KDEBLPGF,1,1,0,1,0,1,Alpha-Rhodobacter,97.09,MAG
TARA_SAMEA2622568_METAG_MOOFBCEI,0,0,0,0,0,0,Gamma-Other,98.54,MAG
TARA_SAMEA2622568_METAG_MDLKCBOG,0,0,0,0,0,0,Chloroflexota,95.16,MAG
TARA_SAMEA2622568_METAG_JEFONMEN,0,0,0,0,0,0,Bacteroidota,90.46,MAG
TARA_SAMEA2620404_METAG_MDOJCKDP,0,0,0,0,0,0,Alpha-Other,84.68,MAG
TARA_SAMEA2621099_METAG_LNGKDKOO,0,0,0,0,0,0,Archaea-Other,92.76,MAG
TARA_SAMEA2621099_METAG_KAJBAIPL,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,78.6,MAG
TARA_SAMEA2622822_METAG_FPFDCNHD,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,84.62,MAG
TARA_SAMEA2623116_METAG_LBEAGNHC,0,0,0,0,0,0,Gamma-Other,90.84,MAG
TARA_SAMEA2623116_METAG_IJGFKNPC,0,1,1,0.5,1,1,Alpha-Other,93.88,MAG
TARA_SAMEA2623116_METAG_MDIHEBOA,1,1,0,1,0,1,Alpha-Rhodobacter,95.07,MAG
TARA_SAMEA2623116_METAG_MCLEHBBC,1,1,1,1,1,1,Alpha-Rhodobacter,93.98,MAG
TARA_SAMEA2622822_METAG_HGAIBMDJ,0,0,0,0,0,0,Archaea-Other,91.71,MAG
TARA_SAMEA2623116_METAG_OJKPDKPG,0,0,0,0,0,0,Verrucomicrobiota,82.15,MAG
TARA_SAMEA2619667_METAG_BOPPNKGE,0,0,0,0,0,0,Alpha-Other,92.34,MAG
TARA_SAMEA2621222_METAG_APBIOLEJ,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,90.38,MAG
TARA_SAMEA2621155_METAG_FNDJLMBE,0,0,0,0,0,0,Bacteroidota,86.61,MAG
TARA_SAMEA2621155_METAG_EECICDMG,0,0,0,0,0,0,Alpha-Other,88.64,MAG
TARA_SAMEA2623488_METAG_GEMNNJBJ,0,0,0,0,0,0,Planctomycetota,91.54,MAG
TARA_SAMEA2623488_METAG_NKHOEFPE,1,0,0,0.5,0,0.5,Actinobacteriota,91.58,MAG
TARA_SAMEA2623488_METAG_JGCIPBNE,1,1,0,1,0,1,Alpha-Rhodobacter,82.36,MAG
TARA_SAMEA4397278_METAG_CMCAAODG,0,0,0,0,0,0,Bacteroidota,97.04,MAG
TARA_SAMEA2622710_METAG_BPCIPLNH,0,0,0,0,0,0,Alpha-Other,98.54,MAG
TARA_SAMEA2621021_METAG_JPHGBBEF,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,91.2,MAG
TARA_SAMEA2621242_METAG_KCIFBCJK,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,81.61,MAG
TARA_SAMEA2622362_METAG_BEIAPOCM,0,0,0,0,0,0,Bacteroidota,96.32,MAG
TARA_SAMEA2622362_METAG_PKLKMDGE,0,0,0,0,0,0,Bacteroidota,98.6,MAG
TARA_SAMEA2623079_METAG_CJOCBLOE,0,0,0,0,0,0,Verrucomicrobiota,92.24,MAG
TARA_SAMEA2621232_METAG_AICMFHKD,0,0,0,0,0,0,Chloroflexota,92.73,MAG
TARA_SAMEA2621232_METAG_GBGPEPCD,0,0,0,0,0,0,Alpha-Other,84.1,MAG
TARA_SAMEA2621132_METAG_GICDNNLA,0,1,1,0.5,1,1,Alpha-Other,91.28,MAG
TARA_SAMEA2621132_METAG_HHIKJHGI,0,0,0,0,0,0,Bacteroidota,90.3,MAG
TARA_SAMEA2621075_METAG_IKKHENNA,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,91.55,MAG
TARA_SAMEA2621045_METAG_BEJFDEGC,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,90.19,MAG
TARA_SAMEA2622173_METAG_JIJMHIFL,0,0,0,0,0,0,Verrucomicrobiota,87.38,MAG
TARA_SAMEA2622173_METAG_EIJJNOAA,0,0,0,0,0,0,Cyano-Syn,86.86,MAG
TARA_SAMEA2620035_METAG_KAODMFOI,0,0,0,0,0,0,Archaea-Other,90.56,MAG
TARA_SAMEA2623390_METAG_NEGDPLBP,0,0,0,0,0,0,Gamma-Other,84.7,MAG
TARA_SAMEA2623390_METAG_DPDHLDNN,0,0,0,0,0,0,Gamma-Other,92.86,MAG
TARA_SAMEA2623390_METAG_EOEGPGLG,0,0,0,0,0,0,Alpha-Other,81.68,MAG
TARA_SAMEA2623693_METAG_MAANBGIO,0,0,0,0,0,0,Bacteroidota,95.94,MAG
TARA_SAMEA2623693_METAG_GIENLJFM,1,1,0,1,0,1,Alpha-Rhodobacter,98.88,MAG
TARA_SAMEA2623693_METAG_GHHPFIDC,0,0,0,0,0,0,Alpha-Rhodobacter,97.71,MAG
TARA_SAMEA2623693_METAG_EFEFIPAF,0,0,0,0,0,0,Bacteroidota,96.76,MAG
TARA_SAMEA2619970_METAG_KIIHFBOD,0,0,0,0,0,0,Chloroflexota,95.95,MAG
TARA_SAMEA2619970_METAG_HLOJIBLI,0,0,0,0,0,0,Acidobacteriota,94.34,MAG
TARA_SAMEA2619970_METAG_IKNEEGGJ,0,1,0,0.5,0,0.5,Gamma-Other,90.47,MAG
TARA_SAMEA2591084_METAG_FMKGCENE,0,0,0,0,0,0,Planctomycetota,95.3,MAG
TARA_SAMEA2620021_METAG_MLOOJBBB,0,0,0,0,0,0,Alpha-Other,90.63,MAG
TARA_SAMEA2620021_METAG_AFPMGIIL,0,0,0,0,0,0,Planctomycetota,80.79,MAG
TARA_SAMEA2591098_METAG_EKCBDPJI,0,0,0,0,0,0,Alpha-Other,95.56,MAG
TARA_SAMEA2591098_METAG_OOHHFBGP,1,1,0,1,0,1,Alpha-Rhodobacter,92.54,MAG
TARA_SAMEA2620882_METAG_ECPJEPLI,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,99.04,MAG
TARA_SAMEA2620882_METAG_ALBANCPJ,0,0,0,0,0,0,Bacteroidota,92.26,MAG
TARA_SAMEA2620882_METAG_CPNAPCJC,1,0,0,0.5,0,0.5,Actinobacteriota,82.96,MAG
TARA_SAMEA2620194_METAG_GIEIEECH,0,0,0,0,0,0,Gamma-Other,87.3,MAG
TARA_SAMEA2622673_METAG_MOHFBCHB,0,0,0,0,0,0,Bacteroidota,95.69,MAG
TARA_SAMEA2622673_METAG_IIFCJLEJ,0,0,0,0,0,0,Gamma-Other,89.12,MAG
TARA_SAMEA2622673_METAG_PLFAMGMI,1,0,0,0.5,0,0.5,Actinobacteriota,93.12,MAG
TARA_SAMEA2622673_METAG_OJPGHNJO,1,0,0,0.5,0,0.5,Actinobacteriota,91.94,MAG
TARA_SAMEA2619548_METAG_JMBKEIOI,0,0,0,0,0,0,Planctomycetota,94.43,MAG
TARA_SAMEA2619548_METAG_GBLMOJEK,0,0,0,0,0,0,Cyano-Pro,78.81,MAG
TARA_SAMEA2621551_METAG_HJGDCJHC,0,0,1,0,1,1,Planctomycetota,96.08,MAG
TARA_SAMEA2621551_METAG_IBCCMGFG,0,0,0,0,0,0,Verrucomicrobiota,95.03,MAG
TARA_SAMEA2623627_METAG_EEHCIPFL,0,0,0,0,0,0,Gamma-Other,93.82,MAG
TARA_SAMEA2620815_METAG_LKIKPLLC,0,0,0,0,0,0,Archaea-Other,81.53,MAG
TARA_SAMEA2620230_METAG_DONKKNCJ,0,0,0,0,0,0,Alpha-Other,98.41,MAG
TARA_SAMEA2622119_METAG_AHPOGDIA,0,0,0,0,0,0,Bacteroidota,97.36,MAG
TARA_SAMEA2622119_METAG_LDGGJPFJ,0,0,0,0,0,0,Cyano-Pro,83.59,MAG
TARA_SAMEA2622796_METAG_GNHMALAC,0,0,0,0,0,0,Alpha-Other,96.58,MAG
TARA_SAMEA2620815_METAG_OKLGPCNP,0,0,0,0,0,0,Archaea-Other,83.08,MAG
TARA_SAMEA2621092_METAG_HEPGENHG,0,0,0,0,0,0,Chloroflexota,92.24,MAG
TARA_SAMEA2622923_METAG_EMAJFPMF,0,0,0,0,0,0,Verrucomicrobiota,91.86,MAG
TARA_SAMEA2622817_METAG_CBINACBH,0,0,0,0,0,0,Verrucomicrobiota,95.68,MAG
TARA_SAMEA2623907_METAG_FIEPDKCH,0,0,0,0,0,0,Archaea-Other,94.96,MAG
TARA_SAMEA2620217_METAG_IEOKAIED,0,0,0,0,0,0,Alpha-Other,97.43,MAG
TARA_SAMEA2620217_METAG_MFEDECDH,0,0,0,0,0,0,Alpha-Other,93.8,MAG
TARA_SAMEA2620217_METAG_MDLLKPGL,0,0,0,0,0,0,Gamma-Other,88.02,MAG
TARA_SAMEA2622429_METAG_EMLOIADE,1,1,0,1,0,1,Gamma-Other,84.96,MAG
TARA_SAMEA2620970_METAG_OJJJPFLA,1,1,0,1,0,1,Alpha-Rhodobacter,97.76,MAG
TARA_SAMEA2620970_METAG_MMCNDLAO,1,1,0,1,0,1,Alpha-Rhodobacter,96.9,MAG
TARA_SAMEA2620570_METAG_GKAHPFEE,0,0,0,0,0,0,Gamma-Other,87.62,MAG
TARA_SAMEA2621216_METAG_ECAEAMPJ,0,0,0,0,0,0,Actinobacteriota,81.72,MAG
TARA_SAMEA2623850_METAG_HLNHPIEF,1,0,0,0.5,0,0.5,Alpha-Other,92.18,MAG
TARA_SAMEA2623907_METAG_PCEINGMB,0,0,0,0,0,0,Archaea-Other,88.34,MAG
TARA_SAMEA2619879_METAG_JPGMKILO,0,0,0,0,0,0,Cyano-Syn,86.21,MAG
TARA_SAMEA2623756_METAG_HLBGCHOC,0,0,0,0,0,0,Bacteroidota,83.76,MAG
TARA_SAMEA2623756_METAG_CFMFDDPO,0,0,0,0,0,0,Bacteroidota,96.51,MAG
TARA_SAMEA2623756_METAG_KGLCBGOK,0,0,0,0,0,0,Planctomycetota,93.66,MAG
TARA_SAMEA2623756_METAG_AHGOCOOE,0,0,0,0,0,0,Planctomycetota,88.71,MAG
TARA_SAMEA2623314_METAG_JGJMCJMN,0,0,0,0,0,0,Bacteria-Other,92.33,MAG
TARA_SAMEA2622652_METAG_JKGJOOHH,0,0,0,0,0,0,Cyano-Pro,93.18,MAG
TARA_SAMEA2622766_METAG_HMICCCOP,0,0,0,0,0,0,Alpha-Other,97.26,MAG
TARA_SAMEA2622766_METAG_HBJBJOMI,0,0,0,0,0,0,Gamma-Other,96.52,MAG
TARA_SAMEA2622766_METAG_EDDOGMGI,0,0,0,0,0,0,Alpha-Other,98.54,MAG
TARA_SAMEA2622766_METAG_HLOEFLAJ,0,0,0,0,0,0,Verrucomicrobiota,85.5,MAG
TARA_SAMEA2622733_METAG_FAPCEBDL,0,0,0,0,0,0,Archaea-Other,86.74,MAG
TARA_SAMEA2623774_METAG_LJAFNIFN,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,89.46,MAG
TARA_SAMEA2623673_METAG_PJECNDIB,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,89.94,MAG
TARA_SAMEA2623275_METAG_KPGDNKKP,0,0,0,0,0,0,Bacteroidota,95.78,MAG
TARA_SAMEA2623275_METAG_FFCILAGJ,0,0,0,0,0,0,Verrucomicrobiota,90.64,MAG
TARA_SAMEA2623673_METAG_OHJFNMIE,0,0,1,0,1,1,Archaea-Nitrosopumilaceae,83.88,MAG
TARA_SAMEA2622499_METAG_LOIOBFOG,0,0,0,0,0,0,Bacteroidota,92.34,MAG
TARA_SAMEA2622499_METAG_IPMMCNAK,1,1,1,1,1,1,Gamma-Other,90.57,MAG
TARA_SAMEA2623794_METAG_GCMKOOOC,0,0,0,0,0,0,Bacteroidota,93.14,MAG
TARA_SAMEA2623794_METAG_DGHNCGJB,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,99.07,MAG
TARA_SAMEA2623794_METAG_AGNFKEDD,0,0,0,0,0,0,Bacteroidota,92.15,MAG
TARA_SAMEA2623794_METAG_ALOENMBB,0,0,0,0,0,0,Alpha-Rhodobacter,98.88,MAG
TARA_SAMEA2622097_METAG_CGPDAOLO,0,0,0,0,0,0,Alpha-Other,88.27,MAG
TARA_SAMEA2622149_METAG_AAEJBKAF,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,95.46,MAG
TARA_SAMEA2621779_METAG_JBODLJEL,0,0,0,0,0,0,Gamma-Other,97.81,MAG
TARA_SAMEA2619766_METAG_ECIEHDAN,0,0,0,0,0,0,Cyano-Other,95.48,MAG
TARA_SAMEA2622149_METAG_JEPKGHNL,0,0,0,0,0,0,Archaea-Other,92.66,MAG
TARA_SAMEA2622149_METAG_MMEOGIPH,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,90.18,MAG
TARA_SAMEA2622149_METAG_JMBGEAKD,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,87.18,MAG
TARA_SAMEA2622149_METAG_MFGJBKLI,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,82.17,MAG
TARA_SAMEA2623649_METAG_MAMDGIMF,0,0,0,0,0,0,Bacteroidota,93.98,MAG
TARA_SAMEA2623649_METAG_GGGGOBLB,0,0,0,0,0,0,Bacteroidota,97.61,MAG
TARA_SAMEA2623649_METAG_NCKOBIHG,1,1,0,1,0,1,Alpha-Rhodobacter,98.66,MAG
TARA_SAMEA2623649_METAG_PKLKAFFB,1,0,0,0.5,0,0.5,Actinobacteriota,92.67,MAG
TARA_SAMEA2623649_METAG_BOMFGDKL,0,0,0,0,0,0,Alpha-Rhodobacter,96,MAG
TARA_SAMEA2623649_METAG_BCHBHJEJ,1,0,0,0.5,0,0.5,Actinobacteriota,90.24,MAG
TARA_SAMEA2623649_METAG_MJNMMDAC,0,0,0,0,0,0,Chloroflexota,78.93,MAG
TARA_SAMEA2622837_METAG_JBJCKAAA,0,1,1,0.5,1,1,Acidobacteriota,87.38,MAG
TARA_SAMEA2621013_METAG_JDGAFPJC,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,91.24,MAG
TARA_SAMEA2619782_METAG_FADEPKNA,0,0,1,0,1,1,Alpha-Other,97.34,MAG
TARA_SAMEA2619782_METAG_JFMHGPNE,0,0,0,0,0,0,Planctomycetota,94.36,MAG
TARA_SAMEA2619782_METAG_CHLDNCEO,1,0,0,0.5,0,0.5,Verrucomicrobiota,88.85,MAG
TARA_SAMEA2622690_METAG_PCAJHLNK,0,0,0,0,0,0,Alpha-Other,97.62,MAG
TARA_SAMEA2622690_METAG_IFBOIKPA,0,0,0,0,0,0,Gamma-Other,78.53,MAG
TARA_SAMEA2622690_METAG_HHMBDOOL,0,1,1,0.5,1,1,Alpha-Other,90.57,MAG
TARA_SAMEA2622197_METAG_NOPBLNLP,0,0,0,0,0,0,Gamma-Other,91.94,MAG
TARA_SAMEA2620097_METAG_NCIIEPOG,0,0,0,0,0,0,Bacteroidota,94.74,MAG
TARA_SAMEA2621037_METAG_FFEIHJMD,0,0,0,0,0,0,Bacteria-Other,90.68,MAG
TARA_SAMEA2621037_METAG_KELAOGGB,0,0,0,0,0,0,Cyano-Syn,87.92,MAG
TARA_SAMEA2622568_METAG_DOJKIAJF,0,0,0,0,0,0,Archaea-Other,92.45,MAG
TARA_SAMEA2622568_METAG_FECFJJEB,0,0,0,0,0,0,Archaea-Other,92.02,MAG
TARA_SAMEA2622545_METAG_NPNOEMNH,0,0,0,0,0,0,Bacteroidota,97.99,MAG
TARA_SAMEA2591074_METAG_KHLHJAFB,0,0,0,0,0,0,Alpha-Other,90.36,MAG
TARA_SAMEA2619840_METAG_OBGEGELO,0,0,1,0,1,1,Alpha-Other,99.2,MAG
TARA_SAMEA2619840_METAG_LDCGPDKP,0,1,1,0.5,1,1,Alpha-Other,97.29,MAG
TARA_SAMEA2619840_METAG_HLGDDOEN,0,0,1,0,1,1,Gamma-Other,80.96,MAG
TARA_SAMEA4397157_METAG_OEPPPCEN,0,0,0,0,0,0,Bacteroidota,98.92,MAG
TARA_SAMEA2622568_METAG_NAEKHGCP,0,0,0,0,0,0,Archaea-Other,91.54,MAG
TARA_SAMEA4397516_METAG_BBMGPPDB,0,0,0,0,0,0,Gamma-Other,78.41,MAG
TARA_SAMEA2622568_METAG_OHMOJBNK,0,0,0,0,0,0,Archaea-Other,84.34,MAG
TARA_SAMEA2620995_METAG_PNKOPBNF,0,0,0,0,0,0,Archaea-Nitrosopumilaceae,83.8,MAG
TARA_SAMEA4396496_METAG_DNBDGNMF,0,0,0,0,0,0,Verrucomicrobiota,96.12,MAG
TARA_SAMEA4396496_METAG_FLKKHAPJ,1,1,0,1,0,1,Alpha-Rhodobacter,93.94,MAG
TARA_SAMEA4396496_METAG_CCDCDMEM,0,0,0,0,0,0,Gamma-Other,84.42,MAG
TARA_SAMEA4397239_METAG_IFKGMDCJ,1,1,0,1,0,1,Alpha-Rhodobacter,90.17,MAG
TARA_SAMEA4397930_METAG_NBNOCLFN,1,1,0,1,0,1,Alpha-Rhodobacter,97.67,MAG
TARA_SAMEA4397930_METAG_ENPOPFFO,0,0,0,0,0,0,Gamma-Other,85.33,MAG
TARA_SAMEA4397756_METAG_GPNNLFDB,1,1,0,1,0,1,Alpha-Rhodobacter,98.9,MAG
TARA_SAMEA4397756_METAG_MFCCEFMA,0,0,0,0,0,0,Gamma-Other,89.71,MAG
TARA_SAMEA4397196_METAG_FOAMLLMK,0,0,0,0,0,0,Bacteroidota,98.38,MAG
TARA_SAMEA4397196_METAG_GHNDOLDE,0,0,0,0,0,0,Verrucomicrobiota,95.56,MAG
TARA_SAMEA4397196_METAG_IFCABLLB,0,0,1,0,1,1,Actinobacteriota,96.06,MAG
TARA_SAMEA4397983_METAG_BALILBAF,0,0,0,0,0,0,Verrucomicrobiota,96.08,MAG
TARA_SAMEA4398094_METAG_JKDFMADP,0,0,0,0,0,0,Verrucomicrobiota,96.46,MAG
TARA_SAMEA4398094_METAG_LJKCHDII,1,1,0,1,0,1,Alpha-Rhodobacter,94.18,MAG
TARA_SAMEA4398094_METAG_HAHDNDFA,0,0,0,0,0,0,Gamma-Other,93.22,MAG
TARA_SAMEA4398094_METAG_IAAOPOCK,1,1,0,1,0,1,Alpha-Rhodobacter,77.13,MAG
TARA_SAMEA4398094_METAG_DOHDLKON,0,0,0,0,0,0,Gamma-Other,91.5,MAG
TARA_SAMEA4398150_METAG_DOGMCALJ,1,1,0,1,0,1,Alpha-Rhodobacter,98.95,MAG
TARA_SAMEA4398150_METAG_BHFPEIBM,0,0,0,0,0,0,Verrucomicrobiota,96.88,MAG
TARA_SAMEA4398150_METAG_NLDOOBLD,0,0,0,0,0,0,Verrucomicrobiota,96.12,MAG
TARA_SAMEA4397842_METAG_EKIJPONI,0,0,0,0,0,0,Gamma-Other,98.93,MAG
TARA_SAMEA4397842_METAG_INEHHMKA,1,1,0,1,0,1,Alpha-Rhodobacter,98.83,MAG
TARA_SAMEA4397034_METAG_BEJJLMAO,1,1,0,1,0,1,Alpha-Rhodobacter,97.47,MAG
TARA_SAMEA4397034_METAG_FAIFBENJ,1,1,0,1,0,1,Alpha-Rhodobacter,91.54,MAG
TARA_SAMEA4397426_METAG_PDFLOHJD,0,0,0,0,0,0,Gamma-Other,98.58,MAG
TARA_SAMEA4397426_METAG_NMLIANFF,0,0,0,0,0,0,Gamma-Other,97.83,MAG
TARA_SAMEA4397426_METAG_DJIEGDCK,1,1,0,1,0,1,Alpha-Rhodobacter,95.9,MAG
TARA_SAMEA4397426_METAG_NOKGLLBA,1,0,0,0.5,0,0.5,Alpha-Rhodobacter,80.91,MAG
TARA_SAMEA4397426_METAG_BDFEHJMA,1,1,0,1,0,1,Alpha-Rhodobacter,91.64,MAG
TARA_SAMEA4397426_METAG_GPFFIEFF,0,0,0,0,0,0,Bacteroidota,87.32,MAG
TARA_SAMEA4396424_METAG_KJFNGIDN,0,0,0,0,0,0,Verrucomicrobiota,96.48,MAG
TARA_SAMEA4398219_METAG_IAKBBOPM,0,0,0,0,0,0,Verrucomicrobiota,95.6,MAG
TARA_SAMEA4398219_METAG_MDLGIFNC,1,1,0,1,0,1,Alpha-Rhodobacter,91.72,MAG
TARA_SAMEA4398219_METAG_PDJNEJGL,0,0,0,0,0,0,Planctomycetota,87.27,MAG
TARA_SAMEA4397390_METAG_KPIDHNMA,0,1,0,0.5,0,0.5,SAR324,93.88,MAG
TARA_SAMEA4397903_METAG_NIGGCILB,1,1,0,1,0,1,Alpha-Rhodobacter,96.38,MAG
TARA_SAMEA4397903_METAG_PKHLEIKH,1,1,0,1,0,1,Gamma-Other,76.24,MAG
TARA_SAMEA4397903_METAG_HMDDLJIK,1,1,0,1,0,1,Alpha-Rhodobacter,92.99,MAG
TARA_SAMEA4397903_METAG_CIEAFGBM,0,0,0,0,0,0,Gamma-Other,76.64,MAG
TARA_SAMEA4398370_METAG_DIKAOHFM,0,0,0,0,0,0,Bacteroidota,98.07,MAG
TARA_SAMEA4398009_METAG_OPMNFMGF,1,1,0,1,0,1,Alpha-Rhodobacter,97.96,MAG
TARA_SAMEA4398009_METAG_NFABANHD,0,0,1,0,1,1,Gamma-Other,88.67,MAG
TARA_SAMEA4398009_METAG_OBIPICFJ,0,0,0,0,0,0,Bacteroidota,95.34,MAG
TARA_SAMEA4398009_METAG_AFPPAFJA,0,0,0,0,0,0,Gamma-Other,84.42,MAG
